team_name,Player_name,NATIONALITY,Mat,Inns,Runs,Overs,SR,St,Wkts,4,5,Season,Mdns,Econ,Ave,dream_11_points,consistency
KXIP,CJJordan,INT,10.0,10.0,,35.3,,0.0,9.0,0.0,0.0,New_season,0.0,17.4,,265.0,26.5
KXIP,MandeepSingh,IND,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,264.0,inf
RCB,GJMaxwell,INT,25.0,17.0,,37.0,,0.0,8.0,0.0,0.0,New_season,0.0,16.29,,264.0,15.529411764705882
SRH,SNadeem,IND,16.0,16.0,,46.0,,0.0,10.0,0.0,0.0,New_season,0.0,28.82,,262.0,16.375
CSK,FduPlessis,INT,53.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,16.0,0.0,250.0,250.0
KXIP,KLRahul,IND,42.0,0.0,,0.0,,1.0,0.0,0.0,0.0,New_season,0.0,0.0,,246.0,inf
RCB,WashingtonSundar,IND,11.0,10.0,185.0,30.0,22.5,0.0,8.0,0.0,0.0,older_season,0.0,6.16,23.12,242.0,24.2
RR,KartikTyagi,IND,10.0,10.0,,38.1,,0.0,9.0,0.0,0.0,New_season,0.0,9.61,,241.0,24.1
MI,SSTiwary,IND,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,238.0,inf
DC,TKCurran,INT,10.0,10.0,,28.200000000000003,,0.0,9.0,0.0,0.0,New_season,0.0,23.04,,233.0,23.3
KKR,EJGMorgan,INT,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,228.0,inf
KKR,NRana,IND,43.0,13.0,,16.1,,0.0,7.0,0.0,0.0,New_season,0.0,27.63,,227.0,17.46153846153846
MI,SAYadav,IND,55.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,8.0,0.0,224.0,224.0
KXIP,DJHooda,IND,41.0,16.0,268.0,32.1,129.0,0.0,6.0,0.0,0.0,older_season,0.0,26.46,182.32999999999998,220.0,13.75
MI,SAYadav,IND,46.0,0.0,,0.0,,0.0,0.0,0.0,0.0,New_season,0.0,0.0,,218.0,inf
CSK,FduPlessis,INT,31.0,0.0,,0.0,,0.0,0.0,0.0,0.0,New_season,0.0,0.0,,218.0,inf
RR,KCCariappa,IND,10.0,10.0,314.0,34.0,68.5,0.0,8.0,0.0,0.0,older_season,0.0,31.810000000000002,112.75,218.0,21.8
RR,JCButtler,INT,34.0,0.0,,0.0,,1.0,0.0,0.0,0.0,New_season,0.0,0.0,,214.0,inf
DC,CRWoakes,INT,5.0,5.0,,18.2,,0.0,8.0,0.0,0.0,New_season,0.0,10.36,,212.0,42.4
RCB,ABdeVilliers,INT,40.0,0.0,,0.0,,1.0,0.0,0.0,0.0,New_season,0.0,0.0,,206.0,inf
SRH,SPGoswami,IND,23.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,202.0,inf
KXIP,MAAgarwal,IND,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,older_season,0.0,0.0,0.0,202.0,inf
SRH,MKPandey,IND,43.0,0.0,,0.0,,0.0,0.0,0.0,0.0,New_season,0.0,0.0,,202.0,inf
KKR,BCJCutting,INT,9.0,9.0,234.0,27.5,113.4,0.0,7.0,0.0,0.0,older_season,0.0,24.62,170.0,199.0,22.11111111111111
RR,SVSamson,IND,41.0,0.0,,0.0,,3.0,0.0,0.0,0.0,New_season,0.0,0.0,,198.0,inf
KKR,LHFerguson,INT,10.0,10.0,,36.5,,0.0,8.0,0.0,0.0,New_season,0.0,18.22,,198.0,19.8
