Player_name,NATIONALITY,team_name,international_matches,ipl_matches_older,ipl_matches_New,international_Inns,ipl_Inns_older,ipl_Inns_New,international_Overs,ipl_Overs_older,ipl_Overs_New,international_Mdns,ipl_Mdns_older,ipl_Mdns_New,international_Runs,ipl_Runs_older,ipl_Runs_New,international_Wkts,ipl_Wkts_older,ipl_Wkts_New,international_Ave,ipl_Ave_older,ipl_Ave_New,international_Econ,ipl_Econ_older,ipl_Econ_New,international_SR,ipl_SR_older,ipl_SR_New,international_four,ipl_four_older,ipl_four_New,international_five,ipl_five_older,ipl_five_New,international_dream_11_points,ipl_dream_11_points_older,ipl_dream_11_points_New,international_consistency,ipl_consistency_older,ipl_consistency_New,dream_11_points_final_points
SKRaina,IND,CSK,20,161,32,8,68,1,15,149.4,1,0,0,0,129,1112,0,3,25,0,43,491.33,0,8.6,80.57,6,30,378.7,0,0,0,0,0,0,0,75,1313,142,9.38,19.31,142,367.81
TKCurran,INT,DC,28,0,10,27,0,10,90,0,28.2,1,0,0,838,0,0,26,0,9,32.23,0,0,9.31,0,23.04,20.7,0,0,1,0,0,0,0,0,670,0,233,24.81,0,23.3,364.1
MohammadNabi,INT,SRH,37,3,11,36,3,11,111.4,11,38.1,0,0,0,847,58,0,27,2,9,31.37,29,0,7.58,5.27,21.8,24.8,33,0,1,0,1,0,0,0,683,54,287,18.97,18,26.09,356.87
GJMaxwell,INT,RCB,42,57,25,21,33,17,42,54,37,0,0,0,334,479,0,16,11,8,20.87,220.35,0,7.95,55.98,16.29,15.7,130.2,0,0,0,0,0,0,0,400,449,264,19.05,13.61,15.53,343.65
ArshdeepSingh,IND,KXIP,0,0,11,0,0,11,0,0,34.5,0,0,1,0,0,0,0,0,12,0,0,0,0,0,19.67,0,0,0,0,0,0,0,0,0,0,0,326,0,0,29.64,326
KWRichardson,INT,RCB,23,14,0,23,14,0,79,52.5,0,0,0,0,623,443,0,28,18,0,22.25,92.8,0,7.88,25.86,0,16.9,65.5,0,0,0,0,0,0,0,700,490,6,30.43,35,inf,312.9
MMarkande,IND,RR,1,0,17,1,0,17,4,0,50,0,0,0,31,0,0,0,0,16,0,0,0,7.75,0,18.19,0,0,0,0,0,1,0,0,0,0,0,438,0,0,25.76,306.6
CRWoakes,INT,DC,0,13,5,0,13,5,0,44,18.2,0,0,0,0,386,0,0,17,8,0,22.7,0,0,8.77,10.36,0,15.5,0,0,0,0,0,0,0,0,473,212,0,36.38,42.4,290.3
RGSharma,IND,MI,54,159,41,0,30,0,0,55.2,0,0,0,0,0,440,0,0,15,0,0,142.13,0,0,63.71,0,0,111.5,0,0,1,0,0,0,0,6,965,162,0,32.17,inf,289.5
LHFerguson,INT,KKR,11,4,10,11,4,10,40,13,36.5,0,1,0,278,93,0,21,3,8,13.23,31,0,6.95,7.15,18.22,11.4,26,0,0,0,0,1,0,0,543,87,198,49.36,21.75,19.8,278.19
MCHenriques,INT,KXIP,10,57,0,6,55,0,15,148.2,0,0,0,0,124,1244,0,4,38,0,31,435.86,0,8.26,60.51,0,22.5,277.2,0,0,0,0,0,0,0,100,1166,6,16.67,21.2,inf,274.86
MMAli,INT,CSK,21,0,19,19,0,17,46.2,0,43.1,0,0,0,418,0,0,10,0,10,41.8,0,0,9.02,0,22.52,27.8,0,0,0,0,0,0,0,0,250,0,284,13.16,0,16.71,273.8
TNatarajan,IND,SRH,3,6,16,3,6,16,12,12.4,62.5,0,0,1,83,115,0,6,2,16,13.83,57.5,0,6.91,9.07,8.02,12,38,0,0,0,0,0,0,0,152,50,436,50.67,8.33,27.25,269.74
KartikTyagi,IND,RR,0,0,10,0,0,10,0,0,38.1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9.61,0,0,0,0,0,0,0,0,0,0,0,241,0,0,24.1,241
DTChristian,INT,RCB,1,36,4,1,36,4,0.3,118.4,11.5,0,0,0,7,936,0,0,30,4,0,88.02,0,14,32.89,8.53,0,66.9,0,0,0,0,0,0,0,-6,902,106,-6,25.06,26.5,239.56
ASingh,IND,RR,0,23,0,0,23,0,0,78.1,0,0,1,0,0,620,0,0,28,0,0,65.43,0,0,22.4,0,0,0,0,0,1,0,0,0,0,0,732,6,0,31.83,inf,219.6
BasilThampi,IND,SRH,0,12,8,0,12,8,0,44.4,26.1,0,0,0,0,424,0,0,11,6,0,38.54,0,0,9.49,31.87,0,24.3,0,0,0,0,0,0,0,0,291,158,0,24.25,19.75,197.9
VShankar,IND,SRH,9,5,35,6,1,14,21,1,26.1,0,0,0,191,19,0,5,0,6,38.2,0,0,9.09,19,26.57,25.2,0,0,0,0,0,0,0,0,125,8,284,20.83,8,20.29,178.34
NRana,IND,KKR,0,17,43,0,1,13,0,1,16.1,0,0,0,0,3,0,0,0,7,0,0,0,0,3,27.63,0,0,0,0,0,0,0,0,0,0,44,227,0,44,17.46,172.1
DJHooda,IND,KXIP,0,41,27,0,16,5,0,32.1,6,0,0,0,0,268,0,0,6,1,0,182.33,0,0,26.46,27.5,0,129,0,0,0,0,0,0,0,0,220,151,0,13.75,30.2,171.7
CHGayle,INT,KXIP,15,101,31,1,37,1,3,90.9,0.5,0,0,0,17,724,0,2,18,0,8.5,257.33,0,5.66,61.85,6,9,202,0,0,0,0,0,0,0,54,642,38,54,17.35,38,169.64
