"","Player","Span","Mat","Inns","Overs","Mdns","Runs","Wkts","BBI","Ave","Econ","SR","four","five"
"726","S Zargar (Mex)","2019-2019","1","1","3.0","0","22","2","2/22","11.00","7.33","9.0","0","0"
"727","Ziaur Rahman (AFG)","2019-2019","1","1","4.0","0","42","2","2/42","21.00","10.50","12.0","0","0"
"728","Aamer Yamin (PAK)","2018-2018","1","1","4.0","0","25","1","1/25","25.00","6.25","24.0","0","0"
"729","Adnan Idrees (KUW)","2019-2019","6","3","7.0","0","67","1","1/34","67.00","9.57","42.0","0","0"
"730","N Advani (GIBR)","2019-2019","1","1","3.0","0","12","1","1/12","12.00","4.00","18.0","0","0"
"731","Aftab Ahmed (2) (DEN)","2019-2019","1","1","1.0","0","10","1","1/10","10.00","10.00","6.0","0","0"
"732","Ahsan Malik (NL)","2017-2017","3","3","9.0","0","93","1","1/34","93.00","10.33","54.0","0","0"
"733","F Akankwasa (UGA)","2020-2020","3","1","4.0","0","37","1","1/37","37.00","9.25","24.0","0","0"
"734","J Allen ()","2019-2019","2","2","2.0","0","19","1","1/7","19.00","9.50","12.0","0","0"
"735","TP Allen (USA)","2019-2019","5","2","3.0","0","28","1","1/11","28.00","9.33","18.0","0","0"
"736","Amir Mangal (GER)","2019-2020","10","5","6.4","0","57","1","1/17","57.00","8.55","40.0","0","0"
"737","Ariful Haque (BDESH)","2018-2018","9","1","1.0","0","13","1","1/13","13.00","13.00","6.0","0","0"
"738","B Arora (MLT)","2019-2019","4","4","11.1","0","75","1","1/26","75.00","6.71","67.0","0","0"
"739","AA Banner (Blz)","2019-2019","3","2","8.0","0","39","1","1/18","39.00","4.87","48.0","0","0"
"740","SJ Benn (WI)","2016-2016","5","5","19.0","0","127","1","1/18","127.00","6.68","114.0","0","0"
"741","SR Bhudia (KENYA)","2019-2019","4","4","9.0","0","63","1","1/6","63.00","7.00","54.0","0","0"
"742","D Bishoo (WI)","2019-2019","2","2","3.3","1","28","1","1/11","28.00","8.00","21.0","0","0"
"743","CC Blake (VAN)","2019-2019","3","3","8.0","0","49","1","1/15","49.00","6.12","48.0","0","0"
"744","DL Brangman (BMUDA)","2019-2019","5","5","7.0","0","84","1","1/19","84.00","12.00","42.0","0","0"
"745","J Butler (IOM)","2020-2020","1","1","3.0","0","34","1","1/34","34.00","11.33","18.0","0","0"
"746","A Carthew (Chile)","2019-2019","4","1","2.0","0","19","1","1/19","19.00","9.50","12.0","0","0"
"747","RD Chahar (INDIA)","2019-2021","2","1","3.0","0","27","1","1/27","27.00","9.00","18.0","0","0"
"748","MS Chapman (NZ)","2018-2021","8","1","2.0","0","9","1","1/9","9.00","4.50","12.0","0","0"
"749","Charanjeet Singh (ITA)","2019-2019","3","2","5.0","0","35","1","1/18","35.00","7.00","30.0","0","0"
"750","MS Crane (ENG)","2017-2017","2","2","8.0","0","62","1","1/38","62.00","7.75","48.0","0","0"
"751","H Dajc (Serb)","2019-2019","2","1","4.0","0","36","1","1/36","36.00","9.00","24.0","0","0"
"752","S Desungnoen (THAI)","2020-2020","2","2","5.0","0","42","1","1/30","42.00","8.40","30.0","0","0"
"753","R Dhawan (INDIA)","2016-2016","1","1","4.0","0","42","1","1/42","42.00","10.50","24.0","0","0"
"754","KR Ebanks (Caym)","2019-2019","5","5","11.0","0","104","1","1/25","104.00","9.45","66.0","0","0"
"755","FH Edwards (WI)","2021-2021","2","2","6.0","0","48","1","1/29","48.00","8.00","36.0","0","0"
"756","Fiaz Ahmad (KUW)","2019-2019","3","3","5.0","0","56","1","1/13","56.00","11.20","30.0","0","0"
"757","KK Flowers (Blz)","2019-2019","3","1","2.0","0","16","1","1/16","16.00","8.00","12.0","0","0"
"758","C Floyd (NL)","2019-2019","2","2","5.0","0","51","1","1/14","51.00","10.20","30.0","0","0"
"759","C Fry (LUX)","2019-2019","3","3","7.0","1","62","1","1/3","62.00","8.85","42.0","0","0"
"760","MD Garratt (GIBR)","2019-2019","4","1","2.5","0","12","1","1/12","12.00","4.23","17.0","0","0"
"761","L Gharasim (ROM)","2019-2020","3","1","1.5","0","12","1","1/12","12.00","6.54","11.0","0","0"
"762","M Gherasim (ROM)","2020-2020","2","1","3.0","0","22","1","1/22","22.00","7.33","18.0","0","0"
"763","NA Greenwood (JER)","2019-2019","8","2","2.0","0","14","1","1/4","14.00","7.00","12.0","0","0"
"764","L Gregory (ENG)","2019-2020","8","4","11.0","0","92","1","1/10","92.00","8.36","66.0","0","0"
"765","Hamid Hassan (AFG)","2016-2016","1","1","2.4","0","19","1","1/19","19.00","7.12","16.0","0","0"
"766","Hardev Singh (Chile)","2019-2019","3","1","1.0","0","12","1","1/12","12.00","12.00","6.0","0","0"
"767","Haroon Mughal (MLT)","2019-2020","7","2","3.0","0","31","1","1/17","31.00","10.33","18.0","0","0"
"768","TM Head (AUS)","2016-2018","14","2","3.0","0","30","1","1/16","30.00","10.00","18.0","0","0"
"769","R Hekure (PNG)","2019-2019","8","6","4.5","0","37","1","1/6","37.00","7.65","29.0","0","0"
"770","MJ Henry (NZ)","2017-2017","1","1","4.0","0","44","1","1/44","44.00","11.00","24.0","0","0"
"771","HMRKB Herath (SL)","2016-2016","3","3","12.0","1","75","1","1/27","75.00","6.25","72.0","0","0"
"772","S Hongsi (THAI)","2019-2019","3","2","3.0","0","35","1","1/15","35.00","11.66","18.0","0","0"
"773","A Husain (Arg)","2019-2019","5","4","10.0","0","51","1","1/6","51.00","5.10","60.0","0","0"
"774","GM Hyde (Blz)","2019-2019","3","2","5.0","0","43","1","1/14","43.00","8.60","30.0","0","0"
"775","Ibrahim Rizan (Mald)","2019-2020","8","6","11.1","0","92","1","1/22","92.00","8.23","67.0","0","0"
"776","Iftikhar Ahmed (PAK)","2019-2021","12","5","7.2","0","71","1","1/7","71.00","9.68","44.0","0","0"
"777","Irfan Mir (Chile)","2019-2019","4","4","15.0","0","73","1","1/26","73.00","4.86","90.0","0","0"
"778","E Isaneez (UGA)","2019-2019","3","3","9.2","0","53","1","1/16","53.00","5.67","56.0","0","0"
"779","Ismat Ullah ()","2019-2019","4","2","4.0","0","16","1","1/9","16.00","4.00","24.0","0","0"
"780","Jaspreet Singh (ITA)","2019-2019","5","2","5.0","0","53","1","1/26","53.00","10.60","30.0","0","0"
"781","D Kansonkho (MWI)","2019-2019","7","3","7.3","0","60","1","1/15","60.00","8.00","45.0","0","0"
"782","B Karki (NEPAL)","2020-2020","1","1","4.0","1","6","1","1/6","6.00","1.50","24.0","0","0"
"783","N Khanna (MLT)","2019-2019","2","2","4.0","0","47","1","1/26","47.00","11.75","24.0","0","0"
"784","B Khumalo (Botsw)","2019-2019","3","3","11.0","0","96","1","1/23","96.00","8.72","66.0","0","0"
"785","JH Kiani (PHI)","2019-2019","4","1","4.0","0","26","1","1/26","26.00","6.50","24.0","0","0"
"786","V Kohli (INDIA)","2016-2021","50","1","1.4","0","15","1","1/15","15.00","9.00","10.0","0","0"
"787","Kushal Malla (NEPAL)","2019-2020","6","4","9.0","0","58","1","1/16","58.00","6.44","54.0","0","0"
"788","S Kushretha (LUX)","2020-2020","4","4","14.0","0","102","1","1/27","102.00","7.28","84.0","0","0"
"789","AV Lalcheta (OMAN)","2017-2019","6","5","13.0","0","100","1","1/28","100.00","7.69","78.0","0","0"
"790","CJ Langford (IOM)","2020-2020","1","1","2.0","0","17","1","1/17","17.00","8.50","12.0","0","0"
"791","CA Liyanage (Mald)","2019-2020","3","2","5.0","0","47","1","1/33","47.00","9.40","30.0","0","0"
"792","J Long (PHI)","2019-2019","2","1","2.0","0","26","1","1/26","26.00","13.00","12.0","0","0"
"793","NM Lyon (AUS)","2018-2018","1","1","4.0","0","33","1","1/33","33.00","8.25","24.0","0","0"
"794","NL McCullum (NZ)","2016-2016","1","1","2.0","0","6","1","1/6","6.00","3.00","12.0","0","0"
"795","W Madhevere (ZIM)","2020-2021","6","4","8.0","0","57","1","1/15","57.00","7.12","48.0","0","0"
"796","Mahedi Hasan (BDESH)","2018-2020","4","4","13.0","0","96","1","1/14","96.00","7.38","78.0","0","0"
"797","Mahmad Data (PNM)","2019-2019","2","2","5.0","0","31","1","1/15","31.00","6.20","30.0","0","0"
"798","A Makesh (KUW)","2019-2019","4","4","9.0","1","79","1","1/19","79.00","8.77","54.0","0","0"
"799","DJ Malan (ENG)","2017-2021","23","1","2.0","0","27","1","1/27","27.00","13.50","12.0","0","0"
"800","WJ Malinda (Mald)","2019-2019","3","1","4.0","0","27","1","1/27","27.00","6.75","24.0","0","0"
"801","Mamoon Latif (Belg)","2019-2020","7","1","1.0","0","14","1","1/14","14.00","14.00","6.0","0","0"
"802","OM Marshall (Peru)","2019-2019","3","2","3.0","0","22","1","1/10","22.00","7.33","18.0","0","0"
"803","WT Mashinge (ZIM)","2019-2019","2","2","5.0","0","57","1","1/37","57.00","11.40","30.0","0","0"
"804","N Master (Botsw)","2019-2019","2","1","4.0","0","30","1","1/30","30.00","7.50","24.0","0","0"
"805","Md Shafiqul Haque (THAI)","2019-2019","4","1","3.0","0","25","1","1/25","25.00","8.33","18.0","0","0"
"806","DP Michael (Samoa)","2019-2019","4","1","3.0","0","32","1","1/32","32.00","10.66","18.0","0","0"
"807","SF Mire (ZIM)","2018-2019","9","5","12.0","0","115","1","1/15","115.00","9.58","72.0","0","0"
"808","D Mogan (MAL)","2020-2020","2","2","8.0","0","53","1","1/31","53.00","6.62","48.0","0","0"
"809","Mohammad Amin (KUW)","2019-2020","9","2","2.0","0","18","1","1/12","18.00","9.00","12.0","0","0"
"810","Mohammad Boota (UAE)","2019-2019","16","1","1.0","0","13","1","1/13","13.00","13.00","6.0","0","0"
"811","MR Montfort (CAN)","2019-2019","1","1","3.0","0","25","1","1/25","25.00","8.33","18.0","0","0"
"812","EMDY Munaweera (SL)","2017-2017","9","5","10.0","0","92","1","1/26","92.00","9.20","60.0","0","0"
"813","Musawar Shah (QAT)","2019-2020","4","4","11.0","0","73","1","1/20","73.00","6.63","66.0","0","0"
"814","Nader Zahadiafzal (Iran)","2020-2020","3","2","4.0","0","25","1","1/10","25.00","6.25","24.0","0","0"
"815","Naiem Bameri (Iran)","2020-2020","3","3","8.0","0","73","1","1/14","73.00","9.12","48.0","0","0"
"816","N Nankov (BUL)","2019-2020","4","2","3.0","0","28","1","1/13","28.00","9.33","18.0","0","0"
"817","NH Naureen (ESP)","2019-2019","1","1","3.0","1","32","1","1/32","32.00","10.66","18.0","0","0"
"818","Navid Abdollahpour (Iran)","2020-2020","2","2","5.0","1","45","1","1/24","45.00","9.00","30.0","0","0"
"819","Nazakat Ali (NOR)","2019-2019","2","2","3.0","0","16","1","1/6","16.00","5.33","18.0","0","0"
"820","A Ndlovu (ZIM)","2019-2019","3","3","11.0","0","90","1","1/35","90.00","8.18","66.0","0","0"
"821","R Neale (LUX)","2019-2019","3","1","3.0","0","30","1","1/30","30.00","10.00","18.0","0","0"
"822","K Nima (BHU)","2019-2019","1","1","3.0","0","22","1","1/22","22.00","7.33","18.0","0","0"
"823","Noman Kamawi (Belg)","2019-2019","1","1","3.0","0","28","1","1/28","28.00","9.33","18.0","0","0"
"824","E Ochieng (KENYA)","2019-2019","2","2","4.0","0","30","1","1/18","30.00","7.50","24.0","0","0"
"825","AM Oyede (NGA)","2019-2019","8","3","8.0","0","44","1","1/14","44.00","5.50","48.0","0","0"
"826","RJG Palmer (JER)","2019-2019","2","2","4.0","0","27","1","1/10","27.00","6.75","24.0","0","0"
"827","Parvez Rasool (INDIA)","2017-2017","1","1","4.0","0","32","1","1/32","32.00","8.00","24.0","0","0"
"828","AY Patel (NZ)","2018-2018","2","2","6.0","0","45","1","1/27","45.00","7.50","36.0","0","0"
"829","JE Pitcher (BMUDA)","2019-2019","3","3","7.0","0","50","1","1/26","50.00","7.14","42.0","0","0"
"830","S Pokhriyal (CZK-R)","2019-2020","9","1","2.0","0","23","1","1/23","23.00","11.50","12.0","0","0"
"831","Qasim Zia (BHR)","2019-2019","3","3","9.0","0","68","1","1/17","68.00","7.55","54.0","0","0"
"832","Raag Kapur (HKG)","2019-2019","4","3","7.0","0","49","1","1/26","49.00","7.00","42.0","0","0"
"833","Ravinder Singh (MLT)","2019-2020","5","2","6.0","0","72","1","1/36","72.00","12.00","36.0","0","0"
"834","J Reb (Serb)","2019-2019","2","1","3.0","0","40","1","1/40","40.00","13.33","18.0","0","0"
"835","GA Reynold (Blz)","2019-2019","3","3","8.0","1","49","1","1/17","49.00","6.12","48.0","0","0"
"836","Riazat Ali Shah (UGA)","2019-2019","4","3","7.4","0","58","1","1/20","58.00","7.56","46.0","0","0"
"837","R Rivas (Chile)","2019-2019","3","1","4.0","0","45","1","1/45","45.00","11.25","24.0","0","0"
"838","SE Rutherford (WI)","2018-2020","6","2","6.0","0","49","1","1/21","49.00","8.16","36.0","0","0"
"839","S Saeed (Mald)","2019-2019","5","5","11.0","0","95","1","1/24","95.00","8.63","66.0","0","0"
"840","DJG Sammy (WI/World)","2016-2017","7","4","9.0","0","79","1","1/17","79.00","8.77","54.0","0","0"
"841","I Sawmy (DEN)","2019-2019","2","1","3.0","0","12","1","1/12","12.00","4.00","18.0","0","0"
"842","SMSM Senanayake (SL)","2016-2016","2","2","8.0","0","85","1","1/49","85.00","10.62","48.0","0","0"
"843","Shahzad Muhammad (Mex)","2019-2019","2","1","3.0","0","29","1","1/29","29.00","9.66","18.0","0","0"
"844","Shaikh Ashraf (Peru)","2019-2019","4","2","4.0","0","34","1","1/18","34.00","8.50","24.0","0","0"
"845","ZK Shem (VAN)","2019-2019","5","3","6.0","0","72","1","1/36","72.00","12.00","36.0","0","0"
"846","M Shumba (ZIM)","2020-2020","1","1","2.0","0","28","1","1/28","28.00","14.00","12.0","0","0"
"847","Shuvagata Hom (BDESH)","2016-2016","3","3","8.0","0","53","1","1/24","53.00","6.62","48.0","0","0"
"848","BA Simango (Moz)","2019-2019","2","1","3.0","0","21","1","1/21","21.00","7.00","18.0","0","0"
"849","T Singye (BHU)","2019-2019","2","2","6.0","0","65","1","1/53","65.00","10.83","36.0","0","0"
"850","J Singye (BHU)","2019-2019","2","2","8.0","0","69","1","1/28","69.00","8.62","48.0","0","0"
"851","JT Smuts (SA)","2017-2021","13","10","22.4","0","178","1","1/19","178.00","7.85","136.0","0","0"
"852","Sufyan Mehmood (OMAN)","2019-2020","2","2","4.0","0","29","1","1/20","29.00","7.25","24.0","0","0"
"853","Suhrid Roy (MLT)","2019-2019","1","1","4.0","0","44","1","1/44","44.00","11.00","24.0","0","0"
"854","CR Suryawanshi (SGP)","2019-2019","3","1","2.0","0","13","1","1/13","13.00","6.50","12.0","0","0"
"855","Tafseer Ali (NOR)","2019-2019","5","3","4.0","0","37","1","1/17","37.00","9.25","24.0","0","0"
"856","Taijul Islam (BDESH)","2019-2019","2","2","7.0","0","58","1","1/26","58.00","8.28","42.0","0","0"
"857","RN ten Doeschate (NL)","2018-2019","13","1","1.0","0","4","1","1/4","4.00","4.00","6.0","0","0"
"858","VP Thamotharam (MLT)","2020-2020","2","2","8.0","0","77","1","1/37","77.00","9.62","48.0","0","0"
"859","JJ Tucker (BMUDA)","2019-2019","5","4","7.0","0","62","1","1/16","62.00","8.85","42.0","0","0"
"860","DV Varghese (BUL)","2020-2020","5","4","6.5","0","93","1","1/31","93.00","13.60","41.0","0","0"
"861","C Vorster (GUE)","2019-2019","1","1","3.0","0","32","1","1/32","32.00","10.66","18.0","0","0"
"862","Walid Ghauri (NOR)","2019-2019","4","2","3.5","0","31","1","1/16","31.00","8.08","23.0","0","0"
"863","T Whiteman (LUX)","2019-2020","8","2","3.4","0","38","1","1/24","38.00","10.36","22.0","0","0"
"864","D Wiese (SA)","2016-2016","3","3","9.0","0","74","1","1/19","74.00","8.22","54.0","0","0"
"865","JD Wildermuth (AUS)","2018-2018","2","2","3.0","0","32","1","1/16","32.00","10.66","18.0","0","0"
"866","Yusuf Ebrahim (PNM)","2019-2019","3","3","7.0","1","44","1","1/13","44.00","6.28","42.0","0","0"
"867","Yuvraj Singh (INDIA)","2016-2017","6","1","3.0","0","19","1","1/19","19.00","6.33","18.0","0","0"
"868","Zawar Farid (UAE)","2019-2019","4","2","4.1","0","35","1","1/34","35.00","8.40","25.0","0","0"
"869","Zohaib Sarwar (PORT)","2019-2019","4","4","7.0","0","51","1","1/8","51.00","7.28","42.0","0","0"
"870","Abdullah Mahmood (DEN)","2019-2019","1","1","1.0","0","9","0","-","-","9.00","-","0","0"
"871","Abdullah Sheikh (NOR)","2019-2019","2","1","1.0","0","13","0","-","-","13.00","-","0","0"
"872","M Aboagye (Ghana)","2019-2019","3","1","1.0","0","17","0","-","-","17.00","-","0","0"
"873","RA Abolarin (NGA)","2019-2019","1","1","0.4","0","7","0","-","-","10.50","-","0","0"
"874","S Adedeji (NGA)","2019-2019","6","1","2.0","0","21","0","-","-","10.50","-","0","0"
"875","Adel Kolasangiani (Iran)","2020-2020","1","1","1.0","0","16","0","-","-","16.00","-","0","0"
"876","Aftab Kayani (ROM)","2020-2020","1","1","2.0","0","15","0","-","-","7.50","-","0","0"
"877","GJ Agius (MLT)","2019-2019","2","2","5.0","0","53","0","-","-","10.60","-","0","0"
"878","Ahmed Raid (Mald)","2020-2020","1","1","2.0","0","14","0","-","-","7.00","-","0","0"
"879","DS Airee (NEPAL)","2018-2020","21","1","2.0","0","23","0","-","-","11.50","-","0","0"
"880","Ameer Saiyed (Botsw)","2019-2019","4","3","4.0","0","44","0","-","-","11.00","-","0","0"
"881","Ammad Uddin (BHR)","2019-2020","8","1","0.1","0","1","0","-","-","6.00","-","0","0"
"882","Anasim Khan (BHR)","2019-2020","8","7","25.0","0","221","0","-","-","8.84","-","0","0"
"883","DK Anefie (Ghana)","2019-2019","4","4","12.0","0","72","0","-","-","6.00","-","0","0"
"884","Anowarul Islam (THAI)","2019-2019","4","2","3.0","0","25","0","-","-","8.33","-","0","0"
"885","Ansar Iqbal (NOR)","2019-2019","4","1","2.0","0","13","0","-","-","6.50","-","0","0"
"886","MJ Ansell (IOM)","2020-2020","1","1","3.3","0","29","0","-","-","8.28","-","0","0"
"887","Aqib Iqbal (Aut)","2019-2019","5","4","13.0","0","84","0","-","-","6.46","-","0","0"
"888","Atif Ali Khan (UAE)","2016-2016","1","1","4.0","0","43","0","-","-","10.75","-","0","0"
"889","Avi Dixit (SGP)","2019-2019","1","1","1.0","0","15","0","-","-","15.00","-","0","0"
"890","KS Bagabena (Ghana)","2019-2019","4","4","4.5","0","56","0","-","-","11.58","-","0","0"
"891","KMC Bandara (SL)","2016-2016","1","1","1.0","0","11","0","-","-","11.00","-","0","0"
"892","KNA Bandara (SL)","2021-2021","3","1","1.0","0","2","0","-","-","2.00","-","0","0"
"893","P Bharat Patel (PNM)","2019-2019","2","2","5.0","0","40","0","-","-","8.00","-","0","0"
"894","Meet Bhavsar (KUW)","2019-2019","9","1","1.0","0","11","0","-","-","11.00","-","0","0"
"895","LT Bichard (GUE)","2020-2020","1","1","4.0","0","16","0","-","-","4.00","-","0","0"
"896","STR Binny (INDIA)","2016-2016","1","1","1.0","0","32","0","-","-","32.00","-","0","0"
"897","KK Bishnoi ()","2019-2019","3","2","3.0","0","27","0","-","-","9.00","-","0","0"
"898","JA Burrows (IOM)","2020-2020","1","1","1.0","0","7","0","-","-","7.00","-","0","0"
"899","J Butler (GUE)","2019-2020","10","1","1.0","0","15","0","-","-","15.00","-","0","0"
"900","JD Campbell (WI)","2019-2019","2","1","1.0","0","1","0","-","-","1.00","-","0","0"
"901","DT Christian (AUS)","2017-2017","1","1","0.3","0","7","0","-","-","14.00","-","0","0"
"902","PD Collingwood (World)","2017-2017","1","1","2.0","0","18","0","-","-","9.00","-","0","0"
"903","J Cutinho (CRC)","2019-2019","3","1","0.5","0","7","0","-","-","8.40","-","0","0"
"904","KC D'Souza (BUL)","2020-2020","7","1","1.0","0","6","0","-","-","6.00","-","0","0"
"905","MD Dai (PNG)","2017-2017","3","3","10.0","0","54","0","-","-","5.40","-","0","0"
"906","DAP Darrell (BMUDA)","2019-2019","11","1","2.0","0","14","0","-","-","7.00","-","0","0"
"907","BFW de Leede (NL)","2018-2019","8","2","2.0","0","27","0","-","-","13.50","-","0","0"
"908","PC de Silva (SL)","2017-2017","2","2","2.0","0","30","0","-","-","15.00","-","0","0"
"909","ST de Silva (SL)","2017-2017","3","1","1.0","0","10","0","-","-","10.00","-","0","0"
"910","A Djorovic (Serb)","2019-2019","2","2","6.0","1","32","0","-","-","5.33","-","0","0"
"911","B Dugic (Serb)","2019-2019","2","2","2.3","0","22","0","-","-","8.80","-","0","0"
"912","AB Dursak (TKY)","2019-2019","4","3","8.4","0","134","0","-","-","15.46","-","0","0"
"913","Emran Shahbakhsh (Iran)","2020-2020","3","1","0.5","0","14","0","-","-","16.80","-","0","0"
"914","Fakhar Zaman (PAK)","2017-2020","40","1","1.0","0","12","0","-","-","12.00","-","0","0"
"915","M Faraz Akram (ZIM)","2020-2020","1","1","2.2","0","12","0","-","-","5.14","-","0","0"
"916","Fazal Niazai (AFG)","2019-2019","1","1","1.0","0","13","0","-","-","13.00","-","0","0"
"917","MVT Fernando (SL)","2017-2017","1","1","2.0","0","16","0","-","-","8.00","-","0","0"
"918","JA Fitzgerald (GIBR)","2019-2019","4","1","2.0","0","22","0","-","-","11.00","-","0","0"
"919","GF Gomes (Moz)","2019-2019","7","1","2.0","0","16","0","-","-","8.00","-","0","0"
"920","Hamza Dar (ESP)","2019-2019","1","1","2.0","0","22","0","-","-","11.00","-","0","0"
"921","Hasan Mahmud (BDESH)","2020-2020","1","1","4.0","0","25","0","-","-","6.25","-","0","0"
"922","Hasheem Shahzad (MLT)","2019-2019","2","1","4.0","0","32","0","-","-","8.00","-","0","0"
"923","Hassan Khan Mohammad (HKG)","2020-2020","1","1","2.0","0","22","0","-","-","11.00","-","0","0"
"924","RJ Hatchman (GIBR)","2019-2019","1","1","4.0","0","33","0","-","-","8.25","-","0","0"
"925","EH Hutchinson (USA)","2019-2019","2","1","3.0","0","20","0","-","-","6.66","-","0","0"
"926","Ibrahim Khan (Saudi)","2019-2019","1","1","2.0","0","17","0","-","-","8.50","-","0","0"
"927","Ibrahim Nashath (Mald)","2019-2019","3","2","4.0","0","48","0","-","-","12.00","-","0","0"
"928","Imran Khan (PORT)","2019-2019","4","1","2.0","0","13","0","-","-","6.50","-","0","0"
"929","B Ivanov (BUL)","2019-2020","8","1","2.0","0","36","0","-","-","18.00","-","0","0"
"930","H Ivanov (BUL)","2019-2020","8","1","2.0","0","11","0","-","-","5.50","-","0","0"
"931","Jagjit Singh (Peru)","2019-2019","4","1","1.0","0","10","0","-","-","10.00","-","0","0"
"932","NA Janes (THAI)","2019-2019","2","1","1.0","0","12","0","-","-","12.00","-","0","0"
"933","T Jamtsho (BHU)","2019-2019","2","2","4.1","0","48","0","-","-","11.52","-","0","0"
"934","Javed Maroofkhail (NOR)","2019-2019","2","1","2.0","0","22","0","-","-","11.00","-","0","0"
"935","GSNFG Jayasuriya (SL)","2016-2020","8","5","7.0","0","76","0","-","-","10.85","-","0","0"
"936","P Jayeshbhai Patel (PNM)","2019-2019","2","1","2.0","0","21","0","-","-","10.50","-","0","0"
"937","Jay Odedra (OMAN)","2019-2019","3","3","7.0","0","74","0","-","-","10.57","-","0","0"
"938","Kamran Khan (QAT)","2019-2020","21","2","4.1","0","48","0","-","-","11.52","-","0","0"
"939","G Kansonkho (MWI)","2019-2019","6","1","1.0","0","15","0","-","-","15.00","-","0","0"
"940","S Kansoy (TKY)","2019-2019","4","1","1.0","0","14","0","-","-","14.00","-","0","0"
"941","Karweng NG (PHI)","2019-2019","4","3","9.0","0","81","0","-","-","9.00","-","0","0"
"942","Khurram Shahzad (QAT)","2020-2020","7","1","1.0","0","8","0","-","-","8.00","-","0","0"
"943","Khushdil Shah (PAK)","2019-2021","9","1","1.0","0","6","0","-","-","6.00","-","0","0"
"944","H Klaasen (SA)","2018-2021","16","1","1.0","0","14","0","-","-","14.00","-","0","0"
"945","JS Kundi (KENYA)","2019-2019","6","2","2.0","0","15","0","-","-","7.50","-","0","0"
"946","A Lagos ()","2019-2019","1","1","2.0","0","13","0","-","-","6.50","-","0","0"
"947","C Liebenberg (IOM)","2020-2020","1","1","2.0","0","14","0","-","-","7.00","-","0","0"
"948","I Lisboa (Chile)","2019-2019","1","1","2.0","0","17","0","-","-","8.50","-","0","0"
"949","AM McCarthy (WI)","2018-2018","1","1","2.0","0","12","0","-","-","6.00","-","0","0"
"950","LD Madushanka (SL)","2019-2019","2","1","4.0","0","36","0","-","-","9.00","-","0","0"
"951","MF Maharoof (SL)","2016-2016","1","1","3.0","0","26","0","-","-","8.66","-","0","0"
"952","C Mahoney (Peru)","2019-2019","3","1","1.0","0","10","0","-","-","10.00","-","0","0"
"953","BF Mailata (Samoa)","2019-2019","4","2","2.0","0","24","0","-","-","12.00","-","0","0"
"954","D Manani (ROM)","2019-2019","2","2","4.0","0","27","0","-","-","6.75","-","0","0"
"955","M Markande (INDIA)","2019-2019","1","1","4.0","0","31","0","-","-","7.75","-","0","0"
"956","D Marks (MLT)","2019-2019","2","2","7.0","0","54","0","-","-","7.71","-","0","0"
"957","Masood Jayezeh (Iran)","2020-2020","3","3","3.0","0","42","0","-","-","14.00","-","0","0"
"958","KR Mayers (WI)","2020-2020","2","1","1.0","0","10","0","-","-","10.00","-","0","0"
"959","Mehran Khan (OMAN)","2017-2019","8","3","4.0","0","36","0","-","-","9.00","-","0","0"
"960","D Mejia (CRC)","2019-2019","3","2","4.0","0","23","0","-","-","5.75","-","0","0"
"961","PHKD Mendis (SL)","2018-2019","4","3","5.0","0","48","0","-","-","9.60","-","0","0"
"962","AJ Michael (Samoa)","2019-2019","4","1","2.0","0","18","0","-","-","9.00","-","0","0"
"963","Mihusan Hamid (Mald)","2019-2019","1","1","3.0","0","29","0","-","-","9.66","-","0","0"
"964","Mohamed Arief (MAL)","2019-2020","12","2","2.0","0","19","0","-","-","9.50","-","0","0"
"965","Mohammad Ayaz (UAE)","2020-2020","1","1","2.0","0","25","0","-","-","12.50","-","0","0"
"966","JN Mohammed (WI)","2017-2018","9","2","2.0","0","13","0","-","-","6.50","-","0","0"
"967","Mohammed Asghar (KUW)","2019-2019","4","2","4.0","0","28","0","-","-","7.00","-","0","0"
"968","Mohammed Qasim (UAE)","2016-2017","3","1","1.0","0","8","0","-","-","8.00","-","0","0"
"969","JWN Moses (Botsw)","2019-2019","3","2","8.0","0","46","0","-","-","5.75","-","0","0"
"970","Muhammad Asjed (ESP)","2019-2019","2","1","1.0","0","9","0","-","-","9.00","-","0","0"
"971","Muhammad Muneeb (Belg)","2020-2020","4","1","1.0","0","17","0","-","-","17.00","-","0","0"
"972","Muhammad Musa (PAK)","2019-2020","2","2","7.5","0","62","0","-","-","7.91","-","0","0"
"973","Muhammad Naeem (Saudi)","2019-2020","7","1","1.0","0","13","0","-","-","13.00","-","0","0"
"974","Muhammed Shanil (UAE)","2016-2016","1","1","4.0","0","49","0","-","-","12.25","-","0","0"
"975","RG Mukasa (UGA)","2019-2020","6","3","11.0","0","85","0","-","-","7.72","-","0","0"
"976","FF Mulivai (Samoa)","2019-2019","4","1","0.1","0","6","0","-","-","36.00","-","0","0"
"977","CT Mumba (ZIM)","2020-2020","2","2","5.0","0","50","0","-","-","10.00","-","0","0"
"978","T Munyonga (ZIM)","2019-2019","5","1","1.0","0","3","0","-","-","3.00","-","0","0"
"979","S Nadigotla (ROM)","2019-2020","3","1","2.0","0","10","0","-","-","5.00","-","0","0"
"980","Nanda Kumar (CRC)","2019-2019","3","1","1.0","0","10","0","-","-","10.00","-","0","0"
"981","M Nandela (Mex)","2019-2019","2","1","1.0","0","13","0","-","-","13.00","-","0","0"
