,Player,Span,Mat,Runs,HS,Bat_Av,hundred,Wkts,BBI,Bowl_Av,five,Ct,St,Ave_Diff
1102,C Fry (LUX),2019-2019,3,2,2,2,0,1,01-Mar,62,0,1,0,-59.99
1103,R Frylinck (SA),2017-2018,3,-,-,-,-,5,Feb-20,12.4,0,1,0,-
1104,S Gajjar (CZK-R),2020-2020,3,16,14,8,0,-,-,-,-,4,3,-
1105,PF Gallagher (Fin),2019-2019,3,83,36,27.66,0,-,-,-,-,4,0,-
1106,AR Gandhi (KENYA),2019-2019,3,86,50,43,0,-,-,-,-,0,0,-
1107,WT Gavera (PNG),2017-2017,3,3,2,1.5,0,2,Feb-19,31.5,0,0,0,-29.99
1108,HS Gericke (MLT),2020-2020,3,114,91,57,0,-,-,-,-,0,0,-
1109,L Gharasim (ROM),2019-2020,3,0,0,0,0,1,01-Dec,12,0,0,0,-11.99
1110,LF Goncalves (),2019-2019,3,16,13,8,0,-,-,-,-,1,2,-
1111,S Goustis (),2019-2019,3,11,11,11,0,4,Feb-28,10.5,0,0,0,0.5
1112,Hamed Khan (HKG),2020-2020,3,15,10,5,0,-,-,-,-,1,0,-
1113,Hardev Singh (Chile),2019-2019,3,23,17,7.66,0,1,01-Dec,12,0,0,0,-4.33
1114,HMRKB Herath (SL),2016-2016,3,6,3,2,0,1,Jan-27,75,0,0,0,-72.99
1115,H Hiri (PNG),2019-2019,3,7,4,3.5,0,-,-,-,-,0,0,-
1116,S Hongsi (THAI),2019-2019,3,27,11*,-,0,1,Jan-15,35,0,0,0,-
1117,J Hurley (Arg),2019-2019,3,-,-,-,-,5,Mar-13,6.6,0,1,0,-
1118,GM Hyde (Blz),2019-2019,3,1,1,1,0,1,Jan-14,43,0,1,0,-41.99
1119,Ibrahim Nashath (Mald),2019-2019,3,3,3*,3,0,0,-,-,0,1,0,-
1120,Ibrahim Zadran (AFG),2019-2019,3,14,11,4.66,0,-,-,-,-,1,0,-
1121,Imran Bulbulia (PNM),2019-2019,3,40,32,13.33,0,4,Feb-20,14.75,0,0,0,-1.41
1122,Imran Haider (ROM),2019-2020,3,38,19,12.66,0,-,-,-,-,3,2,-
1123,RK Inampud (Mex),2019-2019,3,23,17*,23,0,4,Feb-29,17,0,0,0,6
1124,E Isaneez (UGA),2019-2019,3,8,7*,-,0,1,Jan-16,53,0,0,0,-
1125,Jay Odedra (OMAN),2019-2019,3,6,6*,-,0,0,-,-,0,0,0,-
1126,G Kaltongga (VAN),2019-2019,3,10,10,5,0,-,-,-,-,0,0,-
1127,TS Kamunhukamwe (ZIM),2020-2021,3,82,44,27.33,0,-,-,-,-,1,0,-
1128,ST Kanakalil (MLT),2020-2020,3,13,13*,-,0,4,Apr-31,18.5,0,1,0,-
1129,I Katzarski (BUL),2019-2019,3,5,3,2.5,0,-,-,-,-,3,0,-
1130,S Kaul (INDIA),2018-2019,3,-,-,-,-,4,Feb-35,21,0,0,0,-
1131,HB Kayondo (UGA),2019-2019,3,76,31,25.33,0,-,-,-,-,0,0,-
1132,B Khumalo (Botsw),2019-2019,3,1,1,1,0,1,Jan-23,96,0,0,0,-94.99
1133,TCR Kimber (GUE),2019-2019,3,5,2,1.66,0,-,-,-,-,0,1,-
1134,VJ Kingma (NL),2019-2019,3,0,0*,-,0,4,Feb-47,27.5,0,0,0,-
1135,M Klinger (AUS),2017-2017,3,143,62,47.66,0,-,-,-,-,2,0,-
1136,MF Koc (TKY),2019-2019,3,4,4*,2,0,-,-,-,-,0,0,-
1137,IGTR Kumara (Mald),2020-2020,3,11,5,3.66,0,2,Feb-32,22.5,0,3,0,-18.83
1138,GF Linde (SA),2020-2020,3,41,29,20.5,0,2,Feb-20,36.5,0,1,0,-15.99
1139,CA Liyanage (Mald),2019-2020,3,0,0*,0,0,1,Jan-33,47,0,0,0,-46.99
1140,R Mahajan (PHI),2019-2019,3,1,1*,-,0,2,Jan-18,46.5,0,0,0,-
1141,C Mahoney (Peru),2019-2019,3,21,21,21,0,0,-,-,0,0,0,-
1142,P Malav (LUX),2020-2020,3,0,0,0,0,4,02-Oct,15.75,0,1,0,-15.74
1143,WJ Malinda (Mald),2019-2019,3,11,10*,11,0,1,Jan-27,27,0,3,0,-15.99
1144,Mandeep Singh (INDIA),2016-2016,3,87,52*,43.5,0,-,-,-,-,1,0,-
1145,A Manousis (),2019-2019,3,52,23,26,0,-,-,-,-,2,0,-
1146,OM Marshall (Peru),2019-2019,3,0,0,0,0,1,01-Oct,22,0,1,0,-21.99
1147,JL Martel (GUE),2019-2019,3,13,13*,-,0,6,Mar-15,9.83,0,0,0,-
1148,P Masih (ROM),2020-2020,3,13,13,13,0,2,Feb-18,24.5,0,0,0,-11.49
1149,Masood Jayezeh (Iran),2020-2020,3,2,1,0.66,0,0,-,-,0,0,0,-
1150,Z McLaughlin (Caym),2019-2019,3,6,4*,-,0,2,Feb-30,27,0,0,0,-
1151,AS Mehmi (),2019-2019,3,31,21*,31,0,-,-,-,-,4,0,-
1152,D Mejia (CRC),2019-2019,3,12,12,12,0,0,-,-,0,0,0,-
1153,RP Meredith (AUS),2021-2021,3,-,-,-,-,4,Feb-24,20.75,0,0,0,-
1154,A Mishra (INDIA),2016-2017,3,0,0,0,0,5,Mar-24,14.4,0,1,0,-14.39
1155,K Modise (Botsw),2019-2019,3,16,10,5.33,0,3,Mar-18,13.66,0,1,0,-8.33
1156,Mohammad Sami (PAK),2016-2016,3,4,4*,-,0,4,Feb-17,23.25,0,1,0,-
1157,Mohammed Qasim (UAE),2016-2017,3,36,13*,18,0,0,-,-,0,1,0,-
1158,Mohammed Siraj (INDIA),2017-2018,3,-,-,-,-,3,Jan-45,49.33,0,1,0,-
1159,JWN Moses (Botsw),2019-2019,3,14,9,4.66,0,0,-,-,0,0,0,-
1160,Mohsin Khan (HKG),2020-2020,3,-,-,-,-,4,Mar-37,18,0,0,0,-
1161,Muhammad Awais (),2019-2019,3,82,42*,82,0,-,-,-,-,3,1,-
1162,Muhammad Younis (BHR),2020-2020,3,27,25,9,0,-,-,-,-,2,0,-
1163,G Murali (CRC),2019-2019,3,25,14,8.33,0,-,-,-,-,2,0,-
1164,S Murari (CRC),2019-2019,3,21,16,10.5,0,2,01-Oct,26,0,0,0,-15.49
1165,AK Muslar (Blz),2019-2019,3,22,13,7.33,0,8,03-Oct,5.12,0,1,0,2.2
1166,M Mwamadi (MWI),2019-2019,3,-,-,-,-,-,-,-,-,1,0,-
1167,Nader Zahadiafzal (Iran),2020-2020,3,12,12,4,0,1,01-Oct,25,0,0,0,-20.99
1168,S Nadigotla (ROM),2019-2020,3,26,21,8.66,0,0,-,-,0,1,0,-
1169,Naiem Bameri (Iran),2020-2020,3,20,10,6.66,0,1,Jan-14,73,0,0,0,-66.33
1170,Nanda Kumar (CRC),2019-2019,3,49,39,16.33,0,0,-,-,0,2,0,-
1171,T Natarajan (INDIA),2020-2020,3,-,-,-,-,6,Mar-30,13.83,0,0,0,-
1172,A Natubhai Ahir (PNM),2019-2019,3,64,30,21.33,0,0,-,-,0,1,0,-
1173,Navid Balouch (Iran),2020-2020,3,30,19*,15,0,0,-,-,0,0,0,-
1174,A Ndlovu (ZIM),2019-2019,3,2,2,2,0,1,Jan-35,90,0,3,0,-87.99
1175,R Neale (LUX),2019-2019,3,1,1,0.5,0,1,Jan-30,30,0,0,0,-29.49
1176,P Nissanka (SL),2021-2021,3,81,39,27,0,-,-,-,-,1,0,-
1177,GM Ntambalika (MWI),2019-2019,3,5,5,5,0,4,Feb-13,14,0,0,0,-8.99
1178,Nurul Hasan (BDESH),2017-2017,3,24,10,24,0,-,-,-,-,2,0,-
1179,Ovais Yousof (NGA),2019-2019,3,52,33,17.33,0,-,-,-,-,0,0,-
1180,AE Paraam (SGP),2019-2019,3,19,10,19,0,-,-,-,-,2,0,-
1181,M Patel (Chile),2019-2019,3,12,8,4,0,-,-,-,-,0,0,-
1182,MIA Patel (MWI),2019-2019,3,48,40*,48,0,5,Mar-25,16.6,0,0,0,31.4
1183,S Pillai (CRC),2019-2019,3,14,6,4.66,0,4,Mar-14,14,0,0,0,-9.33
1184,JE Pitcher (BMUDA),2019-2019,3,5,5*,-,0,1,Jan-26,50,0,2,0,-
1185,VRCF Poubel (),2019-2019,3,9,5*,9,0,-,-,-,-,0,0,-
1186,A Poulose (OMAN),2017-2017,3,9,9,3,0,-,-,-,-,2,0,-
1187,C Prasad (CRC),2019-2019,3,14,11,7,0,0,-,-,0,0,0,-
1188,SMA Priyanjan (SL),2017-2017,3,54,40*,54,0,-,-,-,-,0,0,-
1189,Qasim Zia (BHR),2019-2019,3,4,4*,-,0,1,Jan-17,68,0,0,0,-
1190,AM Rahane (INDIA),2016-2016,3,51,40,25.5,0,-,-,-,-,2,0,-
1191,KB Ratilal (PNM),2019-2019,3,1,1*,-,0,3,Feb-18,20.33,0,0,0,-
1192,S Ravikumar (CRC),2019-2019,3,40,29*,20,0,2,01-Dec,28,0,3,0,-7.99
1193,AT Rayudu (INDIA),2016-2016,3,39,20,19.5,0,-,-,-,-,2,0,-
1194,S Rengarajan (CZK-R),2020-2020,3,8,6*,-,0,2,Jan-21,25,0,0,0,-
1195,GA Reynold (Blz),2019-2019,3,10,6*,10,0,1,Jan-17,49,0,2,0,-38.99
1196,KA Reynolds (Blz),2019-2019,3,-,-,-,-,6,Mar-26,10,0,3,0,-
1197,R Rivas (Chile),2019-2019,3,0,0,0,0,1,Jan-45,45,0,0,0,-44.99
1198,GR Russ (PHI),2019-2019,3,17,10,17,0,0,-,-,0,1,0,-
1199,Sadeeq Khan (ROM),2019-2019,3,64,28,32,0,2,Jan-21,31.5,0,1,0,0.5
1200,Sahibzada Farhan (PAK),2018-2018,3,40,39,13.33,0,-,-,-,-,2,0,-
1201,O Sam Arthur (CRC),2019-2019,3,1,1,1,0,4,Feb-21,19,0,0,0,-17.99
1202,A Sathya (Mex),2019-2019,3,61,30,20.33,0,4,Feb-32,19,0,2,0,1.33
1203,R Shepherd (WI),2020-2020,3,-,-,-,-,2,Jan-37,37.5,0,1,0,-
1204,Shuvagata Hom (BDESH),2016-2016,3,29,16*,29,0,1,Jan-24,53,0,1,0,-23.99
1205,KM Silva (),2019-2019,3,1,1,0.5,0,3,02-Jan,6,0,0,0,-5.49
1206,LA Simango (Moz),2019-2019,3,3,2,3,0,2,Feb-20,27.5,0,0,0,-24.49
1207,M Simpson-Parker (Aut),2019-2019,3,0,0,0,0,3,02-Jun,13.33,0,1,0,-13.33
1208,K Sinclair (WI),2021-2021,3,3,3,3,0,2,Jan-19,38.5,0,2,0,-35.49
1209,JR Singleton (),2019-2019,3,17,7,5.66,0,-,-,-,-,0,0,-
1210,S Sohal (USA),2019-2019,3,23,18,11.5,0,-,-,-,-,0,0,-
1211,SSM Stanislaus (MLT),2020-2020,3,42,26,42,0,-,-,-,-,1,0,-
1212,BS Stephenson (Blz),2019-2019,3,100,48,33.33,0,-,-,-,-,0,0,-
1213,CR Suryawanshi (SGP),2019-2019,3,4,4,2,0,1,Jan-13,13,0,3,0,-10.99
1214,HDRL Thirimanne (SL),2016-2016,3,8,5,2.66,0,-,-,-,-,1,0,-
1215,A Tripathi (Mex),2019-2019,3,2,1*,-,0,-,-,-,-,1,0,-
1216,ML Udawatte (SL),2017-2017,3,19,11,6.33,0,-,-,-,-,0,0,-
1217,T Ulutuna (TKY),2019-2019,3,4,4,1.33,0,-,-,-,-,0,0,-
1218,A Uniyal (Chile),2019-2019,3,20,16*,10,0,4,Mar-17,14.75,0,1,0,-4.74
1219,S Varathappan (KUW),2019-2019,3,14,9,4.66,0,-,-,-,-,0,0,-
1220,JNT Vare (PNG),2017-2017,3,45,38,15,0,-,-,-,-,3,0,-
1221,G Venkateswaran (LUX),2019-2019,3,74,59,37,0,-,-,-,-,0,0,-
1222,JK Vifah (Ghana),2019-2019,3,42,23,14,0,0,-,-,0,0,0,-
1223,K Waiswa (UGA),2020-2020,3,60,39,20,0,-,-,-,-,1,0,-
1224,Wasim Ali (OMAN),2019-2020,3,1,1,1,0,0,-,-,0,0,0,-
1225,BTJ Wheal (SCOT),2017-2017,3,0,0*,-,0,2,Jan-31,55,0,1,0,-
1226,SG Whittingham (SCOT),2018-2018,3,-,-,-,-,3,Feb-33,26.33,0,0,0,-
1227,D Wiese (SA),2016-2016,3,28,28,28,0,1,Jan-19,74,0,2,0,-45.99
1228,OR Willis (Caym),2019-2019,3,17,15,5.66,0,-,-,-,-,1,1,-
1229,KJ Young (Blz),2019-2019,3,42,27*,42,0,-,-,-,-,3,0,-
1230,Yousef Shadzehisarjou (Iran),2020-2020,3,73,39,24.33,0,-,-,-,-,0,0,-
1231,Yusuf Ebrahim (PNM),2019-2019,3,137,72,68.5,0,1,Jan-13,44,0,2,0,24.5
1232,Zain ul Tashnam (CRC),2019-2019,3,17,11,17,0,2,Jan-16,17.5,0,0,0,-0.49
1233,Zaki Ul Hassan (Belg),2019-2019,3,1,1,1,0,3,01-Dec,18.66,0,0,0,-17.66
1234,Sarfraz Butt (Saudi),2020-2020,3,16,16,16,0,-,-,-,-,1,4,-
1235,Zeshan Arif (Aut),2019-2019,3,-,-,-,-,6,04-Oct,8.16,0,0,0,-
1236,Abbas Saad (Saudi),2019-2019,2,8,8,4,0,-,-,-,-,0,0,-
1237,Abdullah Sheikh (NOR),2019-2019,2,13,11,6.5,0,0,-,-,0,0,0,-
1238,Abdul Shakoor (UAE),2019-2019,2,7,7*,-,0,-,-,-,-,0,1,-
1239,GJ Agius (MLT),2019-2019,2,3,3,1.5,0,0,-,-,0,1,0,-
1240,P Agnihotri (NOR),2019-2019,2,25,19,12.5,0,-,-,-,-,1,0,-
1241,Ahsan Ali (PAK),2020-2020,2,36,36,18,0,-,-,-,-,0,0,-
1242,J Allen (),2019-2019,2,1,1*,1,0,1,01-Jul,19,0,0,0,-17.99
1243,Anam Mollik (ITA),2019-2019,2,9,9,9,0,-,-,-,-,1,0,-
1244,Apon Mustafizur (Serb),2019-2019,2,11,11,5.5,0,2,Feb-30,15,0,0,0,-9.49
1245,Areeb Quadir (Fin),2019-2019,2,2,2,2,0,-,-,-,-,2,0,-
1246,P Arora (Mex),2019-2019,2,9,6*,9,0,-,-,-,-,1,0,-
1247,SK Atai (PNG),2019-2019,2,0,0,0,0,-,-,-,-,1,0,-
1248,Azyan Farhath (Mald),2019-2019,2,24,22*,24,0,-,-,-,-,0,0,-
1249,GJ Bailey (AUS/World),2016-2017,2,3,3,3,0,-,-,-,-,1,0,-
1250,JT Ball (ENG),2018-2018,2,-,-,-,-,2,Jan-39,41.5,0,1,0,-
1251,OO Bascome (BMUDA),2019-2019,2,22,16,11,0,-,-,-,-,1,0,-
1252,M Bhanuka (SL),2019-2019,2,0,0,0,0,-,-,-,-,2,0,-
1253,SVE Bharathi (GER),2020-2020,2,-,-,-,-,3,Mar-21,13,0,0,0,-
1254,P Bharat Patel (PNM),2019-2019,2,4,4*,-,0,0,-,-,0,0,0,-
1255,D Bishoo (WI),2019-2019,2,11,8,11,0,1,01-Nov,28,0,1,0,-16.99
1256,A Bulow (DEN),2019-2019,2,11,11,11,0,-,-,-,-,0,0,-
1257,S Byrne (MLT),2019-2019,2,3,3,1.5,0,-,-,-,-,0,0,-
1258,JD Campbell (WI),2019-2019,2,11,11,5.5,0,0,-,-,0,1,0,-
1259,T Caruana (GIBR),2019-2019,2,5,5,5,0,-,-,-,-,0,0,-
1260,RD Chahar (INDIA),2019-2021,2,-,-,-,-,1,Jan-27,27,0,0,0,-
1261,M Chauhan (Fin),2019-2019,2,16,15,8,0,3,Feb-16,12.66,0,0,0,-4.66
1262,C Chete (MWI),2019-2019,2,-,-,-,-,-,-,-,-,3,0,-
1263,GL Cloete (SA),2018-2019,2,15,13,7.5,0,-,-,-,-,0,0,-
1264,MS Crane (ENG),2017-2017,2,-,-,-,-,1,Jan-38,62,0,0,0,-
1265,DK Dahyabhai Ahir (PNM),2019-2019,2,7,7,7,0,2,02-Nov,13.5,0,1,0,-6.49
1266,H Dajc (Serb),2019-2019,2,2,2*,2,0,1,Jan-36,36,0,0,0,-33.99
1267,S Dalton (CZK-R),2019-2019,2,0,0,0,0,-,-,-,-,1,0,-
1268,TB de Bruyn (SA),2017-2017,2,26,19,13,0,-,-,-,-,2,0,-
1269,D de la Puente (Peru),2019-2019,2,3,2*,3,0,-,-,-,-,0,0,-
1270,PC de Silva (SL),2017-2017,2,22,21,11,0,0,-,-,0,1,0,-
1271,S Desungnoen (THAI),2020-2020,2,3,2*,-,0,1,Jan-30,42,0,1,0,-
1272,A Djorovic (Serb),2019-2019,2,11,9,5.5,0,0,-,-,0,0,0,-
1273,K Dorji (BHU),2019-2019,2,-,-,-,-,2,Feb-45,34.5,0,0,0,-
1274,U Dorji (BHU),2019-2019,2,16,8,8,0,-,-,-,-,0,0,-
1275,B Dugic (Serb),2019-2019,2,1,1,1,0,0,-,-,0,0,0,-
1276,LA Dunbar (Serb),2019-2019,2,104,104*,104,1,-,-,-,-,1,0,-
1277,BR Dunk (AUS),2017-2017,2,60,32,30,0,-,-,-,-,1,0,-
1278,FH Edwards (WI),2021-2021,2,1,1*,-,0,1,Jan-29,48,0,0,0,-
1279,C Emmott (Chile),2019-2019,2,4,4,2,0,-,-,-,-,0,0,-
1280,Fida Hussain (ITA),2019-2019,2,3,3*,-,0,-,-,-,-,0,0,-
1281,C Floyd (NL),2019-2019,2,23,21,23,0,1,Jan-14,51,0,0,0,-27.99
1282,O Fournier (CRC),2019-2019,2,-,-,-,-,-,-,-,-,4,0,-
1283,GC Galanis (),2019-2019,2,0,0,0,0,5,Mar-32,6.4,0,2,0,-6.39
1284,M Gherasim (ROM),2020-2020,2,0,0*,-,0,1,Jan-22,22,0,0,0,-
1285,Habib Ahmadzai (Aut),2019-2019,2,8,6*,8,0,4,04-Dec,6.25,0,2,0,1.75
1286,PSP Handscomb (AUS),2019-2019,2,33,20*,33,0,-,-,-,-,0,0,-
1287,Hasheem Shahzad (MLT),2019-2019,2,5,5,2.5,0,0,-,-,0,0,0,-
1288,JW Hastings (AUS),2016-2016,2,3,3,3,0,2,Feb-23,23.5,0,1,0,-20.49
1289,R Heyns (LUX),2020-2020,2,20,20,20,0,-,-,-,-,2,0,-
1290,EH Hutchinson (USA),2019-2019,2,16,16,16,0,0,-,-,0,0,0,-
1291,Imam-ul-Haq (PAK),2019-2019,2,21,14,10.5,0,-,-,-,-,0,0,-
1292,Imran Yousaf (Saudi),2020-2020,2,1,1*,-,0,2,Feb-21,28,0,0,0,-
1293,Ishan Kishan (INDIA),2021-2021,2,60,56,30,0,-,-,-,-,0,0,-
1294,Ismail Sardar (THAI),2020-2020,2,5,3,2.5,0,-,-,-,-,0,0,-
1295,D Jakiel (ZIM),2019-2019,2,-,-,-,-,3,Feb-27,14.66,0,0,0,-
1296,NA Janes (THAI),2019-2019,2,9,9,4.5,0,0,-,-,0,0,0,-
1297,T Jamtsho (BHU),2019-2019,2,25,19,25,0,0,-,-,0,0,0,-
1298,Javed Maroofkhail (NOR),2019-2019,2,3,3,3,0,0,-,-,0,0,0,-
1299,P Jayeshbhai Patel (PNM),2019-2019,2,14,8*,14,0,0,-,-,0,0,0,-
1300,C Jonker (SA),2018-2018,2,57,49,28.5,0,-,-,-,-,1,0,-
1301,TE Kane (IRE),2018-2019,2,8,8,8,0,2,Feb-50,34,0,1,0,-25.99
1302,Karim Sadiq (AFG),2018-2018,2,33,28,16.5,0,-,-,-,-,1,0,-
1303,N Khanna (MLT),2019-2019,2,8,6,4,0,1,Jan-26,47,0,1,0,-42.99
1304,Khawar Zafar (Saudi),2020-2020,2,5,5,5,0,-,-,-,-,0,0,-
1305,D Klein (GER),2020-2020,2,48,31*,-,0,2,01-Dec,20.5,0,0,0,-
1306,HG Kuhn (SA),2017-2017,2,39,29,19.5,0,-,-,-,-,1,0,-
1307,DS Kulkarni (INDIA),2016-2016,2,1,1*,-,0,3,Feb-23,18.33,0,0,0,-
1308,LS Livingstone (ENG),2017-2017,2,16,16,8,0,-,-,-,-,0,0,-
1309,J Long (PHI),2019-2019,2,2,2*,-,0,1,Jan-26,26,0,1,0,-
1310,Lucky Ali (DEN),2019-2019,2,13,7,6.5,0,2,Jan-19,20,0,0,0,-13.49
1311,DSK Madushanka (SL),2018-2018,2,-,-,-,-,2,Feb-23,31,0,0,0,-
1312,LD Madushanka (SL),2019-2019,2,21,20,10.5,0,0,-,-,0,0,0,-
1313,Mahmad Data (PNM),2019-2019,2,3,3,3,0,1,Jan-15,31,0,1,0,-27.99
1314,D Manani (ROM),2019-2019,2,37,19*,37,0,0,-,-,0,0,0,-
1315,A Manepalli (LUX),2020-2020,2,14,8,7,0,-,-,-,-,3,0,-
1316,AK Markram (SA),2019-2019,2,18,15,9,0,-,-,-,-,1,0,-
1317,D Marks (MLT),2019-2019,2,11,6*,-,0,0,-,-,0,0,0,-
1318,B Masaba (UGA),2019-2020,2,29,29,29,0,2,Feb-14,7,0,0,0,22
1319,WT Mashinge (ZIM),2019-2019,2,-,-,-,-,1,Jan-37,57,0,2,0,-
1320,I Master (Botsw),2019-2019,2,6,4,3,0,-,-,-,-,1,0,-
1321,N Master (Botsw),2019-2019,2,23,21,11.5,0,1,Jan-30,30,0,0,0,-18.49
1322,KR Mayers (WI),2020-2020,2,25,20,25,0,0,-,-,0,0,0,-
1323,JH Mensah (Ghana),2019-2019,2,17,16,8.5,0,-,-,-,-,0,0,-
1324,D Mogan (MAL),2020-2020,2,-,-,-,-,1,Jan-31,53,0,0,0,-
1325,Mohameed Taiwo (NGA),2019-2019,2,0,0*,-,0,2,Jan-16,20.5,0,0,0,-
1326,Mohammed Sameer (BHR),2020-2020,2,38,28,19,0,-,-,-,-,0,0,-
1327,Muhammad Asjed (ESP),2019-2019,2,9,9,9,0,0,-,-,0,1,0,-
1328,Muhammad Musa (PAK),2019-2020,2,-,-,-,-,0,-,-,0,0,0,-
1329,Muhammad Rafique (BHR),2019-2019,2,4,4,4,0,2,Jan-31,31.5,0,0,0,-27.49
1330,Mukhtiar Singh (ESP),2019-2019,2,-,-,-,-,-,-,-,-,0,0,-
1331,CT Mumba (ZIM),2020-2020,2,26,25,26,0,0,-,-,0,0,0,-
1332,T Muzarabani (ZIM),2016-2016,2,0,0*,-,0,2,Feb-31,24,0,0,0,-
1333,M Nandela (Mex),2019-2019,2,-,-,-,-,0,-,-,0,0,0,-
1334,A Nao (PNG),2017-2017,2,7,7*,-,0,0,-,-,0,0,0,-
1335,Navid Abdollahpour (Iran),2020-2020,2,0,0*,-,0,1,Jan-24,45,0,0,0,-
1336,Nawroz Mangal (AFG),2017-2017,2,51,34,51,0,-,-,-,-,1,0,-
1337,Nazakat Ali (NOR),2019-2019,2,35,25,17.5,0,1,01-Jun,16,0,1,0,1.5
1338,Najmul Hossain Shanto (BDESH),2019-2019,2,16,11,8,0,-,-,-,-,2,0,-
1339,S Nerandzic (Serb),2019-2019,2,10,5,5,0,0,-,-,0,0,0,-
1340,G Nikitas (),2019-2019,2,-,-,-,-,-,-,-,-,0,2,-
1341,Noor Momand (Belg),2019-2019,2,0,0*,-,0,-,-,-,-,2,0,-
1342,J Nyumbu (ZIM),2018-2018,2,7,6*,-,0,0,-,-,0,0,0,-
1343,E Ochieng (KENYA),2019-2019,2,-,-,-,-,1,Jan-18,30,0,1,0,-
1344,R Olipa (UGA),2019-2019,2,3,3,3,0,0,-,-,0,1,0,-
1345,Omar Hayat (DEN),2019-2019,2,6,5,3,0,0,-,-,0,1,0,-
1346,RJG Palmer (JER),2019-2019,2,-,-,-,-,1,01-Oct,27,0,0,0,-
1347,MW Parkinson (ENG),2019-2019,2,-,-,-,-,5,Apr-47,12.2,0,0,0,-
1348,A Patel (MWI),2019-2019,2,12,6*,12,0,0,-,-,0,0,0,-
1349,AY Patel (NZ),2018-2018,2,-,-,-,-,1,Jan-27,45,0,0,0,-
1350,M Patel (PNM),2019-2019,2,3,3*,-,0,-,-,-,-,0,0,-
1351,RN Patel (KENYA),2019-2019,2,15,15*,15,0,-,-,-,-,1,0,-
1352,SL Perera (Ghana),2019-2019,2,10,7,5,0,-,-,-,-,1,0,-
1353,Qadeer Ahmed (UAE),2019-2019,2,-,-,-,-,3,Feb-18,22.66,0,0,0,-
1354,S Qeshile (SA),2019-2019,2,-,-,-,-,-,-,-,-,3,0,-
1355,Rahman Ademi (Serb),2019-2019,2,0,0*,-,0,-,-,-,-,0,0,-
1356,J Reb (Serb),2019-2019,2,11,9,5.5,0,1,Jan-40,40,0,0,0,-34.49
1357,VM Sachdev (PNM),2019-2019,2,23,12*,23,0,-,-,-,-,1,0,-
1358,Sajid Liaqat (GER),2019-2019,2,0,0*,-,0,2,Jan-30,36,0,0,0,-
1359,Sakib Hasan (Serb),2019-2019,2,9,8,4.5,0,0,-,-,0,0,0,-
1360,J Salazar (Peru),2019-2019,2,29,20*,29,0,-,-,-,-,2,0,-
1361,BA Sambo (Moz),2019-2019,2,1,1*,-,0,-,-,-,-,0,0,-
1362,Saqlain Ali (Belg),2019-2019,2,2,2,2,0,2,01-Dec,18,0,0,0,-15.99
1363,Saqlain Arshad (QAT),2019-2019,2,11,11,11,0,0,-,-,0,1,0,-
1364,M Sarenac (Serb),2019-2019,2,1,1,1,0,0,-,-,0,1,0,-
1365,BV Save (MAL),2020-2020,2,16,9,8,0,-,-,-,-,2,0,-
1366,I Sawmy (DEN),2019-2019,2,0,0*,0,0,1,01-Dec,12,0,1,0,-11.99
1367,JOP Scamans (Fin),2019-2019,2,20,12*,20,0,-,-,-,-,0,0,-
1368,K Senamontree (THAI),2019-2019,2,-,-,-,-,0,-,-,0,0,0,-
1369,SMSM Senanayake (SL),2016-2016,2,13,7*,-,0,1,Jan-49,85,0,0,0,-
1370,Shaffeq Muhammad (),2019-2019,2,-,-,-,-,2,02-Dec,10.5,0,1,0,-
1371,Shahzad Muhammad (Mex),2019-2019,2,14,14,14,0,1,Jan-29,29,0,0,0,-14.99
1372,NK Shetty (Mex),2019-2019,2,-,-,-,-,4,Mar-17,10.5,0,3,0,-
1373,KRP Silva (USA),2019-2019,2,32,25,16,0,0,-,-,0,1,0,-
1374,BA Simango (Moz),2019-2019,2,0,0,0,0,1,Jan-21,21,0,0,0,-20.99
1375,M Simmons (BMUDA),2019-2019,2,0,0,0,0,0,-,-,0,0,0,-
1376,T Singye (BHU),2019-2019,2,17,11,8.5,0,1,Jan-53,65,0,0,0,-56.49
1377,J Singye (BHU),2019-2019,2,48,40,24,0,1,Jan-28,69,0,1,0,-44.99
1378,OF Smith (WI),2018-2018,2,6,6,6,0,2,Jan-38,39,0,0,0,-32.99
1379,RAJ Smith (SCOT),2019-2019,2,9,9*,-,0,0,-,-,0,0,0,-
1380,Sohail Khan (PAK),2017-2017,2,1,1*,-,0,3,Feb-28,24,0,0,0,-
1381,M Sohel Patel (PNM),2019-2019,2,43,40,21.5,0,-,-,-,-,0,0,-
1382,BB Sran (INDIA),2016-2016,2,-,-,-,-,6,04-Oct,6.83,0,0,0,-
1383,AL Stephen (VAN),2019-2019,2,1,1,1,0,2,Feb-15,14.5,0,0,0,-13.49
1384,Sufyan Mehmood (OMAN),2019-2020,2,6,6,6,0,1,Jan-20,29,0,0,0,-22.99
1385,Suhail Sadiq (LUX),2019-2019,2,7,7*,-,0,3,Feb-13,15,0,0,0,-
1386,Suresh Kumar (Peru),2019-2019,2,11,10*,11,0,0,-,-,0,0,0,-
1387,K Suttisan (THAI),2019-2019,2,4,4,2,0,-,-,-,-,2,0,-
1388,P Syafiq Ali (MAL),2019-2019,2,-,-,-,-,-,-,-,-,1,0,-
1389,Taijul Islam (BDESH),2019-2019,2,0,0*,-,0,1,Jan-26,58,0,0,0,-
