team_name,Player_name,NATIONALITY,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Season,NO in HS,dream_11_points,ball_for_4,ball_for_6,consistency
RCB,HVPatel,IND,35.0,14.0,5.0,47.0,25.0,17.8,34.0,444.0400000000001,0.0,0.0,3.0,2.0,3.0,older_season,2.0,53.0,17.0,11.333333333333334,3.7857142857142856
RCB,WashingtonSundar,IND,11.0,5.0,4.0,9.0,5.0,9.0,12.0,75.0,0.0,0.0,1.0,0.0,0.0,older_season,1.0,7.0,0.0,0.0,1.4
RCB,YSChahal,IND,42.0,10.0,7.0,15.0,6.0,4.33,28.0,250.0,0.0,0.0,1.0,0.0,0.0,older_season,3.0,13.0,0.0,0.0,1.3
RCB,ShahbazAhmed,IND,2.0,1.0,,1.0,,,1.0,100.0,0.0,0.0,0.0,0.0,0.0,New_season,0.0,1.0,0.0,0.0,1.0
RCB,AZampa,INT,11.0,2.0,0.0,5.0,5.0,5.0,8.0,71.42,0.0,0.0,1.0,1.0,0.0,older_season,0.0,-2.0,8.0,0.0,-1.0
RCB,YSChahal,IND,43.0,6.0,,7.0,,,23.0,70.83,0.0,0.0,0.0,0.0,0.0,New_season,1.0,-11.0,0.0,0.0,-1.8333333333333333
RCB,SuyashPrabhudessai,IND,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New_season,0.0,-6.0,0.0,0.0,-inf
RCB,SachinBaby,IND,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New_season,0.0,-6.0,0.0,0.0,-inf
RCB,RajatPatidar,IND,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New_season,0.0,-6.0,0.0,0.0,-inf
RCB,FinnAllen,INT,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New_season,0.0,-6.0,0.0,0.0,-inf
RCB,DevduttPadikkal,IND,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New_season,0.0,-6.0,0.0,0.0,-inf
RCB,DanielSams,IND,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New_season,0.0,-6.0,0.0,0.0,-inf
RCB,AZampa,INT,3.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New_season,0.0,-6.0,0.0,0.0,-inf
