,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,hundred,fifties,duck,fours,sixes
277,JO Holder (WI),2017-2021,16,13,4,161,29*,17.88,132,121.96,0,0,2,11,8
278,NMS Param (SGP),2019-2019,8,7,2,160,72*,32,118,135.59,0,1,0,12,6
279,Saber Zakhil (Belg),2019-2020,7,7,1,160,44,26.66,101,158.41,0,0,0,9,11
280,Bakhtiar Tahiri (BUL),2020-2020,7,6,0,159,66,26.5,148,107.43,0,1,0,12,8
281,A Mansale (VAN),2019-2019,14,14,0,159,38,11.35,151,105.29,0,0,4,14,5
282,D Pretorius (SA),2017-2021,14,8,3,159,77*,31.8,96,165.62,0,1,0,12,8
283,MR Adair (IRE),2019-2020,18,15,4,158,38,14.36,127,124.4,0,0,1,8,7
284,SW Poynter (IRE),2017-2019,15,13,6,158,39,22.57,126,125.39,0,0,0,17,4
285,R Mutumbami (ZIM),2016-2021,12,9,2,157,54,22.42,112,140.17,0,1,0,10,9
286,HL Carlyon (JER),2019-2019,9,8,0,156,50,19.5,131,119.08,0,1,1,21,3
287,PWH de Silva (SL),2019-2021,16,13,5,154,44,19.25,129,119.37,0,0,1,14,0
288,NA Greenwood (JER),2019-2019,8,8,0,154,43,19.25,128,120.31,0,0,1,15,2
289,S Periyalwar (ROM),2019-2020,6,6,3,154,105*,51.33,109,141.28,1,0,1,18,6
290,BA King (WI),2019-2020,11,10,0,153,43,15.3,114,134.21,0,0,1,20,5
291,Rashid Khan (AFG/ICC),2016-2021,38,22,10,153,33,12.75,125,122.4,0,0,4,9,10
292,NG Collins (Fin),2019-2019,5,5,0,151,56,30.2,164,92.07,0,2,0,10,0
293,CJ Jordan (ENG),2016-2021,46,24,13,151,36,13.72,115,131.3,0,0,2,10,7
294,Rizwan Cheema (CAN),2019-2019,8,8,1,151,72,21.57,95,158.94,0,1,2,10,13
295,CH Gayle (WI),2016-2021,15,13,0,150,40,11.53,142,105.63,0,0,2,14,8
296,H Singh (GER),2019-2020,9,8,3,150,44*,30,134,111.94,0,0,0,7,3
297,N Pathan (THAI),2019-2020,8,8,1,149,54*,21.28,128,116.4,0,1,1,10,7
298,O Bascome (BMUDA),2019-2019,11,11,0,147,37,13.36,147,100,0,0,1,12,8
299,DJ Willey (ENG),2016-2019,22,15,5,146,29*,14.6,110,132.72,0,0,1,8,9
300,FA Allen (WI),2018-2021,19,15,4,145,30,13.18,120,120.83,0,0,3,9,10
301,Sikandar Raza (ZIM),2016-2021,13,12,0,144,40,12,128,112.5,0,0,0,17,2
302,M Klinger (AUS),2017-2017,3,3,0,143,62,47.66,112,127.67,0,1,0,12,2
303,Amir Mangal (GER),2019-2020,10,10,3,142,40,20.28,91,156.04,0,0,0,11,8
304,Hassan Rasheed (Mald),2019-2020,11,10,0,142,34,14.2,174,81.6,0,0,0,8,3
305,Sajid Cheema (Saudi),2019-2020,7,7,0,142,47,20.28,137,103.64,0,0,0,12,6
306,RW Chakabva (ZIM),2019-2019,7,7,1,141,48,23.5,94,150,0,0,2,11,7
307,Faran Afzal (ESP),2019-2019,9,8,1,141,59*,20.14,140,100.71,0,1,0,11,6
308,A Otwani (UGA),2019-2020,7,7,0,141,44,20.14,125,112.8,0,0,1,19,2
309,Waheed Ahmed (UAE),2019-2020,15,13,6,141,45*,20.14,111,127.02,0,0,0,7,11
310,PBB Rajapaksa (SL),2019-2020,7,6,1,140,77,28,107,130.84,0,1,0,8,9
311,Riazat Ali Shah (UGA),2019-2019,4,4,2,140,53*,70,108,129.62,0,1,0,8,8
312,Waqas Khan (HKG),2017-2020,11,10,2,139,60,17.37,147,94.55,0,1,0,5,5
313,AC Douglas (BMUDA),2019-2019,10,9,1,138,47*,17.25,131,105.34,0,0,0,10,8
314,LB Ferbrache (GUE),2019-2020,10,9,1,138,55,17.25,143,96.5,0,1,0,6,3
315,MA Leask (SCOT),2017-2019,18,13,2,138,38*,12.54,103,133.98,0,0,1,9,7
316,J Mees (LUX),2019-2020,8,7,3,137,67*,34.25,114,120.17,0,1,0,20,1
317,HH Patel (MWI),2019-2019,7,6,1,137,44*,27.4,104,131.73,0,0,0,17,3
318,R Tari (VAN),2019-2019,14,14,5,137,28,15.22,117,117.09,0,0,2,6,5
319,Yusuf Ebrahim (PNM),2019-2019,3,3,1,137,72,68.5,97,141.23,0,1,0,14,5
320,MS Chapman (NZ),2018-2021,8,8,2,136,37*,22.66,101,134.65,0,0,0,9,6
321,MNM Aslam (KUW),2019-2020,11,7,2,134,32,26.8,133,100.75,0,0,1,12,2
322,Gulbadin Naib (AFG),2016-2020,22,16,4,132,26,11,125,105.6,0,0,2,9,7
323,DDP D'Silva (UAE),2019-2019,10,8,4,130,29,32.5,146,89.04,0,0,1,9,0
324,Khushdil Shah (PAK),2019-2021,9,9,3,130,36*,21.66,119,109.24,0,0,0,13,4
325,LJ Tucker (IRE),2016-2020,17,14,1,130,22*,10,126,103.17,0,0,1,13,1
326,HR Walsh (USA/WI),2019-2020,17,10,2,128,28,16,130,98.46,0,0,0,8,3
327,Imran Ali Butt (BHR),2019-2020,8,8,0,127,58,15.87,132,96.21,0,2,4,6,6
328,MWR Stokes (GUE),2019-2019,9,7,0,127,29,18.14,152,83.55,0,0,0,10,0
329,RA Jadeja (INDIA),2016-2020,17,8,5,126,44*,42,85,148.23,0,0,0,8,5
330,Najjam Shahzad (PORT),2019-2019,4,3,2,126,53*,126,97,129.89,0,1,0,4,10
331,Muhammad Naeem (Saudi),2019-2020,7,6,2,125,42,31.25,126,99.2,0,0,1,7,3
332,Mohammed Asghar (KUW),2019-2019,4,4,0,124,45,31,91,136.26,0,0,0,13,5
333,BA Pai (GIBR),2019-2019,4,4,0,124,52,31,141,87.94,0,1,0,6,1
334,AW Hawkins-Kay (JER),2019-2019,16,13,5,122,27*,15.25,136,89.7,0,0,1,8,0
335,Muhamad Syahadat (MAL),2019-2019,10,9,3,122,41*,20.33,102,119.6,0,0,0,9,6
336,CN Onwuzulike (NGA),2019-2019,9,9,1,122,46*,15.25,126,96.82,0,0,2,5,5
337,Usman Patel (KUW),2020-2020,5,4,1,122,59*,40.66,91,134.06,0,2,1,20,0
338,Wahidullah Usmani (Belg),2020-2020,4,4,0,122,72,30.5,110,110.9,0,1,0,13,2
339,KH Pandya (INDIA),2018-2019,18,9,4,121,26*,24.2,92,131.52,0,0,0,8,6
340,MJG Rippon (NL),2017-2018,4,4,1,120,42,40,101,118.81,0,0,1,11,2
341,CT Mutombodzi (ZIM),2016-2020,12,11,2,119,32,13.22,129,92.24,0,0,2,8,2
342,Naseem Khushi (OMAN),2017-2020,13,9,2,119,29,17,82,145.12,0,0,2,6,8
343,AA Onikoyi (NGA),2019-2019,9,8,0,119,49,14.87,144,82.63,0,0,1,8,4
344,Janak Prakash (SGP),2019-2020,15,13,5,118,25*,14.75,92,128.26,0,0,2,9,5
345,Shamsudheen Purat (Saudi),2019-2020,6,5,1,118,88*,29.5,77,153.24,0,1,2,12,7
346,Aritra Dutta (SGP),2019-2019,8,8,0,116,33,14.5,114,101.75,0,0,0,8,5
347,TK Musakanda (ZIM),2018-2021,7,7,0,116,43,16.57,94,123.4,0,0,2,8,3
348,K Motlhanka (Botsw),2019-2019,7,7,0,115,59,16.42,123,93.49,0,1,0,11,2
349,MJ Richardson (GER),2019-2020,5,5,3,115,40,57.5,97,118.55,0,0,0,14,1
350,Sami Sohail (MWI),2019-2019,7,5,4,115,33*,115,97,118.55,0,0,0,10,2
351,HS Gericke (MLT),2020-2020,3,2,0,114,91,57,72,158.33,0,1,0,11,3
352,S Kaveri (Mex),2019-2019,7,6,1,114,43,22.8,146,78.08,0,0,0,9,1
353,D Muhumuza (UGA),2019-2020,7,7,1,114,42,19,94,121.27,0,0,1,9,4
354,Afif Hossain (BDESH),2018-2020,12,9,0,113,52,12.55,93,121.5,0,1,2,11,2
355,Sompal Kami (NEPAL),2018-2019,17,12,4,113,27,14.12,98,115.3,0,0,1,6,4
356,M Abdulla (MWI),2019-2019,5,5,2,112,42*,37.33,100,112,0,0,0,11,2
357,JS Malhotra (USA),2019-2019,6,6,0,112,38,18.66,104,107.69,0,0,0,12,2
358,Mohammad Boota (UAE),2019-2019,16,12,4,112,20*,14,100,112,0,0,1,7,5
359,Mudassar Muhammad (GER),2019-2019,7,7,0,112,30,16,135,82.96,0,0,0,5,3
360,S Vesawkar (NEPAL),2018-2019,7,6,3,111,40,37,104,106.73,0,0,0,9,4
361,A Lark (Aut),2019-2019,5,4,0,110,43,27.5,121,90.9,0,0,1,15,0
362,JN Malan (SA),2019-2021,5,5,0,110,44,22,85,129.41,0,0,0,15,4
363,BOP Fernando (SL),2019-2020,6,5,1,109,78*,27.25,87,125.28,0,1,0,11,3
364,W Madhevere (ZIM),2020-2021,6,6,1,109,70*,21.8,94,115.95,0,1,1,13,2
365,JNK Shannon (IRE),2016-2018,7,7,0,109,60,15.57,81,134.56,0,1,1,12,5
366,KM Jadhav (INDIA),2016-2017,7,4,0,108,58,27,86,125.58,0,1,0,11,3
367,Mohammad Saifuddin (BDESH),2017-2020,15,9,3,108,39*,18,95,113.68,0,0,0,9,3
368,JJ Atkinson (HKG),2020-2020,4,4,2,107,50,53.5,90,118.88,0,1,0,9,3
369,OGL Bascome (BMUDA),2019-2019,11,11,1,107,22,10.7,117,91.45,0,0,0,12,3
370,GJ Thompson (IRE),2016-2019,10,8,1,107,44,15.28,108,99.07,0,0,2,14,1
371,K Doriga (PNG),2019-2019,17,11,1,106,43*,10.6,103,102.91,0,0,0,3,3
372,NA Maiolo (ITA),2019-2019,8,7,1,106,39*,17.66,104,101.92,0,0,0,11,2
373,AL Phehlukwayo (SA),2017-2021,30,17,5,106,27*,8.83,97,109.27,0,0,6,11,4
374,DM Bravo (WI),2018-2019,8,7,1,105,43*,17.5,107,98.13,0,0,1,8,4
375,JL Denly (ENG),2018-2020,8,7,2,105,30,21,89,117.97,0,0,0,13,1
376,S Dube (INDIA),2019-2020,13,9,3,105,54,17.5,77,136.36,0,1,0,7,6
377,OJ Hairs (SCOT),2019-2019,8,8,1,105,26,15,64,164.06,0,0,2,4,10
378,Haroon Mughal (MLT),2019-2020,7,5,0,105,33,21,78,134.61,0,0,0,6,5
379,ND Laegsgaard (DEN),2019-2019,9,8,1,105,39,15,96,109.37,0,0,0,11,2
380,CH Morris (SA),2016-2019,15,9,3,105,55*,17.5,80,131.25,0,1,2,10,4
381,M Mosehle (SA),2017-2017,7,6,1,105,36,21,65,161.53,0,0,0,6,9
382,SJ Myburgh (NL),2017-2019,6,6,0,105,34,17.5,119,88.23,0,0,1,10,1
383,JR Philippe (AUS),2021-2021,5,5,0,105,45,21,87,120.68,0,0,0,6,4
384,Suraj Kumar (OMAN),2019-2020,16,10,2,105,42*,13.12,94,111.7,0,0,0,9,3
385,Meet Bhavsar (KUW),2019-2019,9,7,1,104,38,17.33,88,118.18,0,0,0,10,1
386,LA Dunbar (Serb),2019-2019,2,2,1,104,104*,104,62,167.74,1,0,1,5,10
387,Khizar Hayat (MAL),2020-2020,9,8,2,104,28,17.33,83,125.3,0,0,1,10,2
388,P Sarraf (NEPAL),2019-2020,12,11,2,104,27*,11.55,111,93.69,0,0,3,12,4
389,I Liyanage (QAT),2020-2020,7,7,1,103,37*,17.16,98,105.1,0,0,1,10,4
390,DJ Mitchell (NZ),2019-2020,12,11,3,103,30*,12.87,86,119.76,0,0,0,6,4
391,Abdul-Shakoor Rahimzei (GER),2019-2020,9,7,1,102,59,17,86,118.6,0,1,0,7,3
392,CJ Chibhabha (ZIM),2016-2020,9,9,0,102,31,11.33,97,105.15,0,0,2,13,2
393,Rehman Abdul (ITA),2019-2019,7,5,3,102,37*,51,103,99.02,0,0,0,7,3
394,G Chaturvedi (MLT),2019-2020,5,4,0,101,32,25.25,75,134.66,0,0,0,14,1
395,IA De Silva (BUL),2020-2020,6,5,0,101,42,20.2,85,118.82,0,0,0,6,4
396,DF Jacobs (THAI),2019-2020,8,8,0,101,28,12.62,149,67.78,0,0,1,12,2
397,S Jora (NEPAL),2019-2019,6,6,1,101,53*,20.2,83,121.68,0,1,1,5,4
398,Mohammed Nurji (MWI),2019-2019,6,5,3,101,36,50.5,59,171.18,0,0,0,8,6
399,T Perera (Botsw),2019-2019,6,6,0,101,30,16.83,127,79.52,0,0,0,16,0
400,V Shankar (INDIA),2018-2019,9,4,0,101,43,25.25,73,138.35,0,0,0,11,5
401,NM Coulter-Nile (AUS),2016-2019,15,9,2,100,34,14.28,79,126.58,0,0,1,9,5
402,Razmal Shigiwal (Aut),2019-2019,5,3,0,100,53,33.33,78,128.2,0,1,0,3,8
403,BS Stephenson (Blz),2019-2019,3,3,0,100,48,33.33,72,138.88,0,0,0,9,7
404,MN Waller (ZIM),2016-2018,7,7,3,100,30,25,87,114.94,0,0,0,9,2
405,BFW de Leede (NL),2018-2019,8,7,1,98,33,16.33,114,85.96,0,0,0,4,2
406,Irfan Bhima (MWI),2019-2019,4,4,0,98,52,24.5,88,111.36,0,1,2,13,2
407,BR McDermott (AUS),2018-2019,12,10,3,98,32*,14,105,93.33,0,0,2,6,2
408,G Manan (ROM),2019-2020,6,5,0,98,29,19.6,73,134.24,0,0,0,14,3
409,T Whiteman (LUX),2019-2020,8,6,3,98,36,32.66,67,146.26,0,0,1,10,1
410,S Samarawickrama (SL),2017-2019,7,7,0,97,32,13.85,93,104.3,0,0,1,9,0
411,AJ Staal (NL),2019-2019,9,8,2,97,28*,16.16,79,122.78,0,0,2,5,5
412,GM Strydom (Caym),2019-2019,6,6,0,97,49,16.16,89,108.98,0,0,2,6,5
413,SR Watson (AUS),2016-2016,4,4,2,96,44*,48,64,150,0,0,0,9,4
414,F Akankwasa (UGA),2020-2020,3,3,0,95,66,31.66,53,179.24,0,1,0,7,8
415,Z Hoque (THAI),2019-2020,7,7,1,95,23*,15.83,98,96.93,0,0,0,6,4
416,Mehidy Hasan Miraz (BDESH),2017-2018,13,11,2,94,19*,10.44,80,117.5,0,0,2,7,4
417,DT Tiripano (ZIM),2016-2021,9,7,2,94,28,18.8,85,110.58,0,0,1,4,5
418,JJ Tucker (BMUDA),2019-2019,5,5,1,94,50*,23.5,97,96.9,0,1,0,11,1
419,J Cutinho (CRC),2019-2019,3,3,0,93,46,31,98,94.89,0,0,0,7,4
420,Mohammad Amin (KUW),2019-2020,9,7,3,93,32,23.25,92,101.08,0,0,0,8,2
421,Walid Ghauri (NOR),2019-2019,4,4,1,93,44*,31,80,116.25,0,0,0,10,2
422,A Ashokan (CZK-R),2019-2020,6,6,0,92,34,15.33,83,110.84,0,0,0,5,4
423,SC Getkate (IRE),2019-2020,15,13,2,92,24,8.36,83,110.84,0,0,1,4,4
424,Yuvraj Singh (INDIA),2016-2017,6,6,0,91,27,15.16,82,110.97,0,0,0,4,5
425,Kamran Akmal (PAK),2017-2017,4,4,0,90,48,22.5,80,112.5,0,0,1,10,4
426,JN Mohammed (WI),2017-2018,9,8,3,90,23*,18,103,87.37,0,0,1,9,1
427,S Adedeji (NGA),2019-2019,6,6,2,89,51*,22.25,114,78.07,0,1,1,5,2
428,J Barker (LUX),2019-2020,7,6,0,89,39,14.83,105,84.76,0,0,1,10,1
429,Sandeep Goud (OMAN),2019-2020,15,8,3,89,31*,17.8,90,98.88,0,0,0,4,3
430,PJ van Biljon (SA),2020-2021,7,6,2,89,42,22.25,71,125.35,0,0,0,10,2
431,A Ferguson (Arg),2019-2019,5,3,1,88,51,44,100,88,0,1,0,5,1
432,Md Shafiqul Haque (THAI),2019-2019,4,4,0,88,38,22,62,141.93,0,0,0,5,6
433,Zishan Shah (DEN),2019-2019,6,5,1,88,50,22,87,101.14,0,1,0,7,1
434,Anshuman Rath (HKG),2016-2017,4,4,0,87,44,21.75,65,133.84,0,0,0,9,1
435,Mandeep Singh (INDIA),2016-2016,3,3,1,87,52*,43.5,73,119.17,0,1,0,11,1
436,XM Marshall (USA),2019-2019,7,7,0,87,31,12.42,108,80.55,0,0,1,5,2
437,Raza Iqbal (NOR),2019-2019,5,5,0,87,39,17.4,89,97.75,0,0,0,13,0
438,KC D'Souza (BUL),2020-2020,7,6,3,86,28*,28.66,75,114.66,0,0,0,6,3
439,AR Gandhi (KENYA),2019-2019,3,3,1,86,50,43,98,87.75,0,1,0,5,1
440,Mamoon Latif (Belg),2019-2020,7,7,0,86,25,12.28,97,88.65,0,0,0,4,3
441,P Mishra (BUL),2019-2020,10,9,1,86,23,10.75,61,140.98,0,0,1,7,6
442,GSNFG Jayasuriya (SL),2016-2020,8,7,0,85,34,12.14,84,101.19,0,0,1,9,1
443,H Lakov (BUL),2019-2020,6,6,1,85,28,17,86,98.83,0,0,0,6,0
444,K Mendon (CZK-R),2019-2020,11,7,5,85,40*,42.5,92,92.39,0,0,0,5,2
445,DP Michael (Samoa),2019-2019,4,4,1,85,55*,28.33,82,103.65,0,1,1,1,6
446,MD Patel (USA),2019-2019,8,8,1,85,26,12.14,88,96.59,0,0,0,6,4
447,Sulaiman Ali (BUL),2020-2020,6,6,0,85,33,14.16,77,110.38,0,0,0,6,5
448,N Khosla (MLT),2019-2019,4,4,0,84,27,21,95,88.42,0,0,0,3,2
449,Mohammad Nadeem (OMAN),2017-2020,23,12,3,84,29,9.33,99,84.84,0,0,1,6,1
450,Mohammad Naveed (UAE),2016-2019,17,12,5,84,27*,12,59,142.37,0,0,2,9,4
451,IO Okpe (NGA),2019-2019,8,8,0,84,19,10.5,109,77.06,0,0,0,2,2
452,PF Gallagher (Fin),2019-2019,3,3,0,83,36,27.66,68,122.05,0,0,0,4,5
453,Manpreet Singh (ITA),2019-2019,8,6,0,83,36,13.83,98,84.69,0,0,0,10,1
454,Noor Ali Zadran (AFG),2016-2017,4,4,0,83,35,20.75,68,122.05,0,0,0,7,3
455,CD Wallace (SCOT),2017-2019,11,9,3,83,27,13.83,73,113.69,0,0,1,7,2
456,FA Cossa (Moz),2019-2019,6,6,2,82,19*,20.5,90,91.11,0,0,0,6,4
457,TS Kamunhukamwe (ZIM),2020-2021,3,3,0,82,44,27.33,67,122.38,0,0,0,10,1
458,AK Mohan (Fin),2019-2019,5,5,0,82,41,16.4,72,113.88,0,0,1,9,1
459,Muhammad Awais (),2019-2019,3,3,2,82,42*,82,59,138.98,0,0,0,12,1
460,Shaikh Ashraf (Peru),2019-2019,4,4,0,82,38,20.5,67,122.38,0,0,0,8,3
461,RM Siri (Arg),2019-2019,4,4,1,82,49*,27.33,80,102.5,0,0,1,6,1
462,Aaron Jones (USA),2019-2019,8,7,3,81,39,20.25,81,100,0,0,0,3,2
463,Hasan Ali (PAK),2016-2021,31,11,6,81,23,16.2,42,192.85,0,0,2,4,7
464,MO Jones (BMUDA),2019-2019,8,7,2,81,27,16.2,83,97.59,0,0,0,5,3
465,Mohamed Azzam (Mald),2019-2020,10,9,2,81,17*,11.57,86,94.18,0,0,1,8,0
466,P Nissanka (SL),2021-2021,3,3,0,81,39,27,70,115.71,0,0,0,8,2
467,Ahsan Abbasi (HKG),2019-2019,6,6,0,80,18,13.33,87,91.95,0,0,0,7,2
468,Bilal Tahir (KUW),2019-2020,7,7,1,80,34*,13.33,64,125,0,0,2,9,2
469,DAP Darrell (BMUDA),2019-2019,11,10,1,80,30*,8.88,95,84.21,0,0,1,1,5
470,Ijaz Hussain (ROM),2019-2020,5,3,0,80,40,26.66,76,105.26,0,0,0,7,6
471,Kuldeep Lal (ESP),2019-2020,10,4,0,80,38,20,57,140.35,0,0,0,6,2
472,RK Paudel (NEPAL),2019-2019,11,10,2,80,19,10,89,89.88,0,0,0,7,0
473,CP Rizwan (UAE),2019-2019,5,4,0,80,44,20,73,109.58,0,0,0,10,1
474,SM Sharif (SCOT),2017-2019,22,10,6,80,20*,20,62,129.03,0,0,0,4,3
475,ZE Green (NAM),2019-2019,16,11,3,79,18*,9.87,78,101.28,0,0,1,4,3
476,SC Kuggeleijn (NZ),2019-2020,16,8,4,79,35*,19.75,37,213.51,0,0,2,5,7
477,Umar Akmal (PAK),2016-2019,8,6,1,79,32,15.8,65,121.53,0,0,2,4,2
478,Sahir Naqash (GER),2019-2020,8,6,1,78,38*,15.6,62,125.8,0,0,2,2,5
479,Ahmed Raza (UAE),2016-2020,28,11,5,77,22,12.83,89,86.51,0,0,1,2,3
480,GG Banner (Blz),2019-2019,3,3,1,77,47,38.5,65,118.46,0,0,0,1,8
481,SA Wijeyeratne (CAN),2019-2019,2,2,0,77,56,38.5,51,150.98,0,1,0,12,0
482,DR Hooper (GUE),2019-2019,9,8,3,76,19*,15.2,91,83.51,0,0,1,3,1
483,HB Kayondo (UGA),2019-2019,3,3,0,76,31,25.33,69,110.14,0,0,0,2,4
484,EB Knowles (CZK-R),2019-2020,11,10,3,76,17,10.85,105,72.38,0,0,1,9,0
485,C Munoz-Mills (ESP),2019-2020,11,8,4,76,29*,19,71,107.04,0,0,0,5,3
486,AR Nurse (WI),2017-2019,9,6,5,76,20*,76,63,120.63,0,0,0,6,3
487,Rizwan Mahmood (DEN),2019-2019,5,4,0,76,37,19,61,124.59,0,0,0,3,3
488,IS Sodhi (NZ),2016-2021,49,9,3,76,16*,12.66,70,108.57,0,0,2,4,5
489,Babar Hayat (HKG),2016-2017,4,4,0,75,49,18.75,72,104.16,0,0,0,5,2
490,KNA Bandara (SL),2021-2021,3,3,1,75,44*,37.5,60,125,0,0,0,4,3
491,NR Kirton (CAN),2019-2019,5,5,2,75,37*,25,83,90.36,0,0,0,4,1
492,T van der Gugten (NL),2017-2019,17,6,2,75,40*,18.75,52,144.23,0,0,1,3,4
493,Hamza Tariq (CAN),2019-2019,12,9,1,74,33,9.25,59,125.42,0,0,2,4,3
494,Hirenkumar Patel (Chile),2019-2019,4,4,0,74,22,18.5,82,90.24,0,0,0,9,1
495,S Hirugade (Mex),2019-2019,6,6,0,74,35,12.33,86,86.04,0,0,1,8,2
496,SI Runsewe (NGA),2019-2019,6,6,1,74,27,14.8,87,85.05,0,0,1,4,0
497,G Venkateswaran (LUX),2019-2019,3,3,1,74,59,37,58,127.58,0,1,0,10,1
498,J Vira (VAN),2019-2019,14,12,4,74,23,9.25,68,108.82,0,0,1,7,2
499,TS Fray (BMUDA),2019-2019,10,10,1,73,29,8.11,96,76.04,0,0,3,9,0
500,AM Oyede (NGA),2019-2019,8,8,1,73,39,10.42,104,70.19,0,0,2,5,1
501,Sazzad Hosen (Belg),2020-2020,4,4,0,73,34,18.25,74,98.64,0,0,0,9,0
502,RA Thomas (CAN),2019-2019,8,8,1,73,18,10.42,95,76.84,0,0,1,7,1
503,Yousef Shadzehisarjou (Iran),2020-2020,3,3,0,73,39,24.33,106,68.86,0,0,0,9,0
504,Mohammad Mithun (BDESH),2016-2020,6,6,1,72,27,14.4,77,93.5,0,0,0,6,2
505,A Pusthay (Fin),2019-2019,5,5,0,72,37,14.4,60,120,0,0,0,5,1
506,TAM Siriwardana (SL),2016-2017,8,7,0,72,35,10.28,60,120,0,0,3,4,3
507,AS Wright (GUE),2019-2019,8,7,0,72,43,10.28,84,85.71,0,0,1,6,3
508,T Taylor (Caym),2019-2019,6,6,2,71,19*,17.75,91,78.02,0,0,0,2,5
509,Abdul Hashmi (DEN),2019-2019,8,5,1,70,31,17.5,66,106.06,0,0,1,4,0
510,FF Mulivai (Samoa),2019-2019,4,4,0,70,48,17.5,37,189.18,0,0,1,2,8
511,Hafez Farooq (Peru),2019-2019,4,4,0,69,24,17.25,67,102.98,0,0,0,7,2
512,C Hauptfleisch (Caym),2019-2019,5,5,0,69,42,13.8,85,81.17,0,0,1,4,2
513,Ibrarul Haq (Saudi),2019-2019,5,4,0,69,49,17.25,47,146.8,0,0,1,6,4
514,SP Narine (WI),2016-2019,17,10,1,69,30,7.66,74,93.24,0,0,0,6,2
515,TB Sole (SCOT),2019-2019,9,6,2,69,33*,17.25,43,160.46,0,0,0,9,1
516,J Umanath (Mex),2019-2019,7,7,1,69,25,11.5,77,89.61,0,0,1,7,2
517,R Ankad (Mex),2019-2019,8,7,3,68,40*,17,72,94.44,0,0,2,7,0
518,R Escobar (Arg),2019-2019,5,4,1,68,28*,22.66,76,89.47,0,0,0,6,1
519,C Viljoen (NAM),2019-2019,12,7,3,68,33,17,70,97.14,0,0,0,7,1
520,AJ Michael (Samoa),2019-2019,4,4,1,67,23,22.33,69,97.1,0,0,0,5,2
521,Zawar Farid (UAE),2019-2019,4,4,0,67,55,16.75,53,126.41,0,1,0,5,3
522,Abraash Khan (CAN),2019-2019,7,4,0,66,22,16.5,60,110,0,0,0,7,1
523,PHKD Mendis (SL),2018-2019,4,4,0,66,41,16.5,46,143.47,0,0,1,6,3
524,Mirza Ahsan (Aut),2019-2019,4,4,3,66,51*,66,26,253.84,0,1,0,4,7
525,Shahbaz Badar (BHR),2019-2020,5,5,0,66,24,13.2,72,91.66,0,0,1,9,0
526,Umar Amin (PAK),2017-2018,4,3,0,66,45,22,51,129.41,0,0,1,3,4
527,J Bulele (Moz),2019-2019,7,7,0,65,24,9.28,95,68.42,0,0,1,8,0
528,SL Malinga (SL),2017-2020,22,15,5,65,13*,6.5,74,87.83,0,0,4,6,2
529,V Saini (ROM),2020-2020,4,3,1,65,44*,32.5,40,162.5,0,0,0,1,4
530,JE Taylor (WI),2016-2018,10,5,1,65,21,16.25,42,154.76,0,0,0,7,4
531,Abdul Waheed (Saudi),2020-2020,3,3,1,64,41*,32,40,160,0,0,0,11,2
532,Anique Uddin (DEN),2019-2019,6,6,0,64,31,10.66,79,81.01,0,0,0,3,0
533,Ansar Iqbal (NOR),2019-2019,4,4,0,64,40,16,72,88.88,0,0,0,6,1
534,B Arora (MLT),2019-2019,4,4,0,64,28,16,64,100,0,0,0,5,3
535,K Birkenstock (NAM),2019-2019,4,2,0,64,59,32,33,193.93,0,1,0,7,4
536,A Natubhai Ahir (PNM),2019-2019,3,3,0,64,30,21.33,59,108.47,0,0,0,10,1
537,Sadeeq Khan (ROM),2019-2019,3,3,1,64,28,32,42,152.38,0,0,0,3,6
538,SV Samson (INDIA),2020-2020,6,6,0,64,23,10.66,46,139.13,0,0,0,2,4
539,Usman Waheed (KUW),2019-2019,6,4,1,64,28*,21.33,61,104.91,0,0,1,6,1
540,V Balakrishnan (Botsw),2019-2019,3,3,1,63,29*,31.5,82,76.82,0,0,0,6,1
541,LJ Barker (GUE),2019-2020,10,8,0,63,20,7.87,69,91.3,0,0,3,8,0
542,Imran Ismail (Moz),2019-2019,7,7,0,63,17,9,58,108.62,0,0,0,7,3
543,AV Lalcheta (OMAN),2017-2019,6,5,0,63,20,12.6,53,118.86,0,0,0,3,4
544,RG Mukasa (UGA),2019-2020,6,6,0,63,24,10.5,99,63.63,0,0,0,2,2
545,Sultan Ahmed (UAE),2017-2020,22,13,5,63,18,7.87,61,103.27,0,0,4,1,4
546,Kushal Malla (NEPAL),2019-2020,6,5,1,62,36*,15.5,49,126.53,0,0,1,9,2
547,OD Hald (DEN),2019-2019,9,8,1,61,18,8.71,57,107.01,0,0,1,4,2
548,R Nehonde (Botsw),2019-2019,7,7,1,61,26,10.16,79,77.21,0,0,1,3,1
549,DJG Sammy (WI/World),2016-2017,7,5,2,61,29*,20.33,52,117.3,0,0,1,3,4
550,A Sathya (Mex),2019-2019,3,3,0,61,30,20.33,61,100,0,0,0,3,2
551,PH Shamdasani (Peru),2019-2019,4,4,1,61,37,20.33,72,84.72,0,0,0,3,1
552,Amjad Javed (UAE),2016-2017,7,3,1,60,47*,30,59,101.69,0,0,0,2,5
553,DE Budge (SCOT),2018-2018,6,4,2,60,24,30,59,101.69,0,0,0,2,3
554,MD Dai (PNG),2017-2017,3,3,0,60,31,20,58,103.44,0,0,0,3,0
555,BR Dunk (AUS),2017-2017,2,2,0,60,32,30,35,171.42,0,0,0,5,5
