Player_name,NATIONALITY,team_name,international_matches,ipl_matches_older,ipl_matches_New,international_Inns,ipl_Inns_older,ipl_Inns_New,international_Runs,ipl_Runs_older,ipl_Runs_New,international_HS,ipl_HS_older,ipl_HS_New,international_Ave,ipl_Ave_older,ipl_Ave_New,international_BF,ipl_BF_older,ipl_BF_New,international_SR,ipl_SR_older,ipl_SR_New,international_Century,ipl_Century_older,ipl_Century_New,international_fifty,ipl_fifty_older,ipl_fifty_New,international_ducks,ipl_ducks_older,ipl_ducks_New,international_fours,ipl_fours_older,ipl_fours_New,international_sixes,ipl_sixes_older,ipl_sixes_New,international_dream_11_points,ipl_dream_11_points_older,ipl_dream_11_points_New,international_consistency,ipl_consistency_older,ipl_consistency_New,dream_11_points_final_points
CRWoakes,INT,DC,0.0,13.0,5.0,0.0,7.0,4.0,0.0,46.0,17.0,0,18.0,0.0,0,11.5,0.0,0,47.0,19.0,0.0,97.87,89.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,52.0,14.0,0.0,7.43,3.5,4.68
CJJordan,INT,KXIP,46.0,10.0,9.0,24.0,2.0,5.0,151.0,3.0,29.0,36,3.0,0.0,13.72,3.0,0.0,115,5.0,31.0,131.3,75.0,93.54,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,10.0,0.0,2.0,7.0,0.0,0.0,173.0,-5.0,31.0,7.21,-2.5,6.2,4.68
SachinBaby,IND,RCB,0.0,18.0,0.0,0.0,10.0,0.0,0.0,137.0,0.0,0,48.0,0.0,0,37.75,0.0,0,101.0,0.0,0.0,293.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,5.0,0.0,0.0,154.0,-6.0,0.0,15.4,0.0,4.62
SPJackson,IND,KKR,0.0,4.0,0.0,0.0,3.0,0.0,0.0,38.0,0.0,0,16.0,0.0,0,19.0,0.0,0,31.0,0.0,0.0,122.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,43.0,-6.0,0.0,14.33,0.0,4.3
APTare,IND,MI,0.0,35.0,0.0,0.0,28.0,0.0,0.0,339.0,0.0,0,139.0,0.0,0,69.85,0.0,0,273.0,0.0,0.0,627.81,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,40.0,0.0,0.0,11.0,0.0,0.0,399.0,-6.0,0.0,14.25,0.0,4.27
MohammedSiraj,IND,RCB,3.0,0.0,29.0,0.0,0.0,11.0,0.0,0.0,46.0,0,0.0,0.0,0,0.0,0.0,0,0.0,50.0,0.0,0.0,263.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,-6.0,0.0,46.0,0.0,0.0,4.18,4.18
DSKulkarni,IND,MI,2.0,65.0,19.0,1.0,18.0,4.0,1.0,90.0,14.0,1*,63.0,0.0,0,23.0,0.0,1,96.0,12.0,100.0,710.5500000000001,402.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,1.0,96.0,21.0,1.0,5.33,5.25,3.99
KLNagarkoti,IND,KKR,0.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,22.0,0,0.0,0.0,0,0.0,0.0,0,0.0,31.0,0.0,0.0,70.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,3.5,3.5
RDChahar,IND,MI,1.0,3.0,28.0,0.0,1.0,5.0,0.0,3.0,14.0,0,3.0,0.0,0,0.0,0.0,0,2.0,15.0,0.0,150.0,159.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,-6.0,5.0,14.0,0.0,5.0,2.8,3.46
ISharma,IND,DC,0.0,69.0,14.0,0.0,22.0,3.0,0.0,45.0,10.0,0,25.0,0.0,0,29.0,0.0,0,58.0,3.0,0.0,405.02000000000004,333.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,28.0,13.0,0.0,1.27,4.33,3.42
ShivamMavi,IND,KKR,0.0,0.0,17.0,0.0,0.0,7.0,0.0,0.0,23.0,0,0.0,0.0,0,0.0,0.0,0,0.0,29.0,0.0,0.0,158.07999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,3.0,3.0
PDubey,IND,DC,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,0,0.0,0.0,0,0.0,0.0,0,0.0,13.0,0.0,0.0,53.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0
