Player_name,NATIONALITY,team_name,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,hundred,fifties,duck,fours,sixes,dream_11_points,consistency
RipalPatel,IND,DC,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VishnuVinod,IND,DC,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LukmanMeriwala,IND,DC,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MSiddharth,IND,DC,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TKCurran,INT,DC,2017-2021,28.0,11.0,7,54.0,14*,13.5,47,114.89,0.0,0.0,0.0,0.0,4.0,62.0,5.636363636363637
SWBillings,INT,DC,2016-2020,24.0,21.0,4,292.0,87,17.17,227,128.63,0.0,1.0,1.0,28.0,8.0,342.0,16.285714285714285
RGSharma,IND,MI,2016-2021,53.0,52.0,4,1579.0,118,32.89,1072,147.29,3.0,11.0,3.0,138.0,85.0,2019.0,38.82692307692308
APTare,IND,MI,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnukulRoy,IND,MI,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnmolpreetSingh,IND,MI,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALynn,INT,MI,2018-2018,13.0,12.0,0,226.0,44,18.83,173,130.63,0.0,0.0,1.0,25.0,10.0,271.0,22.583333333333332
DSKulkarni,IND,MI,2016-2016,2.0,1.0,1,1.0,1*,0,1,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HHPandya,IND,MI,2016-2021,34.0,24.0,7,361.0,42*,21.23,247,146.15,0.0,0.0,1.0,18.0,24.0,427.0,17.791666666666668
IshanKishan,IND,MI,2021-2021,2.0,2.0,0,60.0,56,30,41,146.34,0.0,1.0,0.0,5.0,4.0,83.0,41.5
JJBumrah,IND,MI,2016-2020,38.0,4.0,3,8.0,7,8,11,72.72,0.0,0.0,0.0,1.0,0.0,9.0,2.25
JYadav,IND,MI,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KAPollard,INT,MI,2016-2021,34.0,26.0,4,613.0,75*,27.86,463,132.39,0.0,3.0,1.0,27.0,49.0,762.0,29.307692307692307
KHPandya,IND,MI,2018-2019,18.0,9.0,4,121.0,26*,24.2,92,131.52,0.0,0.0,0.0,8.0,6.0,143.0,15.88888888888889
MohsinKhan,IND,MI,2020-2020,3.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0
QdeKock,INT,MI,2016-2020,22.0,22.0,1,714.0,79*,34,483,147.82,0.0,6.0,1.0,65.0,36.0,899.0,40.86363636363637
RDChahar,IND,MI,2019-2019,1.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0
SSTiwary,IND,MI,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAYadav,IND,MI,2021-2021,1.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0
TABoult,INT,MI,2017-2021,23.0,6.0,5,16.0,8,16,16,100.0,0.0,0.0,0.0,2.0,0.0,18.0,3.0
